"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11250528880,"1/4 gram or less","","","","1/2 gram"
11250357688,"I don't know how much I use per week","","","",""
11250243595,"2-3 grams","","","",""
11249989922,"","","","","1  gram"
11249911719,"4-6 grams","","","",""
11249871277,"4-6 grams","","","",""
11249860217,"4-6 grams","","","",""
11249491628,"","","","",""
11249421052,"","","","",""
11248704898,"4-6 grams","","","",""
11248164514,"1/4 ounce (~7 grams)","1/2 gram","","","1/4 gram or less"
11246906361,"","","","",""
11245529294,"4-6 grams","","","",""
11241251752,"4-6 grams","","","",""
11239200945,"","","","",""
11239077222,"8 grams to 1/2 ounce (~14 grams)","1/4 gram or less","","","1  gram"
11239041530,"2-3 grams","","","","1  gram"
11238077963,"1/4 gram or less","","","",""
11236750096,"","","","",""
11231679765,"","","","",""
11226611149,"","","","",""
11222559871,"1  gram","","","",""
11220644956,"","","","",""
11215559561,"1/4 gram or less","","","","1  gram"
11214928564,"1  gram","","","",""
11212784708,"15 grams to 1 ounce (~28 grams)","","","",""
11211717848,"","","","","1  gram"
11208627585,"8 grams to 1/2 ounce (~14 grams)","15 grams to 1 ounce (~28 grams)","","","More than 1 ounce"
11188216657,"2-3 grams","","","","1/4 gram or less"
11170108737,"1/4 ounce (~7 grams)","","","",""
11166997346,"8 grams to 1/2 ounce (~14 grams)","","","",""
11166893092,"1/4 gram or less","","","","4-6 grams"
11166535497,"2-3 grams","1/4 gram or less","","","1/2 gram"
11166474867,"","1/2 gram","","",""
11166390085,"","","","","None"
11166384877,"1/4 gram or less","","","",""
11161813510,"","","","",""
11156698544,"8 grams to 1/2 ounce (~14 grams)","","","",""
11156548224,"1/4 ounce (~7 grams)","","","","1/2 gram"
11150766346,"8 grams to 1/2 ounce (~14 grams)","1/4 gram or less","","","None"
11149744263,"","","","",""
11148900374,"","","","",""
11148362084,"1/4 gram or less","","","",""
11142252658,"","","","",""
11141987359,"","","","",""
11140569970,"","","","",""
11138400653,"8 grams to 1/2 ounce (~14 grams)","1/4 gram or less","","",""
11138361963,"1/4 ounce (~7 grams)","","","","1  gram"
11137973158,"2-3 grams","1  gram","","",""
11137664485,"1/4 gram or less","","","",""
11137652132,"","","","",""
11137541759,"2-3 grams","","","",""
11136861481,"","","","",""
11136798812,"2-3 grams","","","",""
11136795358,"8 grams to 1/2 ounce (~14 grams)","","","",""
11135990132,"1/4 ounce (~7 grams)","","","","1  gram"
11135916791,"","","","",""
11135889511,"1/4 gram or less","","","",""
11135849827,"","","","",""
11135778856,"1/2 gram","","","",""
11135727852,"I don't know how much I use per week","","","",""
11135570279,"15 grams to 1 ounce (~28 grams)","","","","1  gram"
11135531344,"","1/4 ounce (~7 grams)","","",""
11135476295,"","More than 1 ounce","","","1/2 gram"
11135466512,"2-3 grams","","","","1/4 gram or less"
11135317065,"1  gram","","","",""
11135238481,"","1/4 ounce (~7 grams)","","",""
11135151906,"I don't know how much I use per week","","","","None"
11135136344,"","","","",""
11135122023,"1  gram","","","",""
11135087208,"","2-3 grams","","",""
11135054998,"2-3 grams","","","",""
11135054557,"","","","",""
11135022253,"15 grams to 1 ounce (~28 grams)","8 grams to 1/2 ounce (~14 grams)","","",""
11135019994,"","2-3 grams","","",""
11134932854,"4-6 grams","","","",""
11134926998,"","","","","2-3 grams"
11134799419,"","","","",""
11134769709,"","I don't know how much I use per week","","",""
11134708109,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
11134698105,"","","","",""
11134691787,"8 grams to 1/2 ounce (~14 grams)","1/2 gram","","","1/4 gram or less"
11134647286,"4-6 grams","","","",""
11134572563,"","","","",""
11134549629,"","2-3 grams","","",""
11134536706,"8 grams to 1/2 ounce (~14 grams)","","","","1/2 gram"
11134526749,"","1/4 gram or less","","",""
11134508380,"","","","",""
11134504342,"2-3 grams","","","",""
11134452367,"","","","",""
11134451924,"","","","",""
11132638848,"15 grams to 1 ounce (~28 grams)","","","",""
11129003813,"15 grams to 1 ounce (~28 grams)","","","",""
11111974827,"1  gram","","","",""
11105188699,"","2-3 grams","","","1  gram"
11102541656,"","","","",""
11100035804,"","","","",""
11076823569,"15 grams to 1 ounce (~28 grams)","","","","1  gram"
11064470565,"1/4 ounce (~7 grams)","","","",""
11064360862,"","","","",""
11064342543,"1  gram","","","",""
11061878386,"","","","",""
11061509902,"2-3 grams","","","","4-6 grams"
11057923056,"2-3 grams","","","",""
11054783496,"","","","",""
11050438627,"I don't know how much I use per week","","","",""
11045739846,"2-3 grams","","","","1  gram"
11044478649,"1/4 ounce (~7 grams)","","","",""
11034650778,"4-6 grams","","","",""
11033502369,"","","","","I don't know how much I use per week"
11027692007,"","1/2 gram","","",""
11014798443,"","","","","2-3 grams"
10994464098,"","","","",""
10985275093,"15 grams to 1 ounce (~28 grams)","1/4 gram or less","","","1  gram"
10978063065,"4-6 grams","","","",""
10975405385,"15 grams to 1 ounce (~28 grams)","","","","1/4 gram or less"
10952093942,"","1/4 ounce (~7 grams)","","",""
10932820377,"1  gram","","","","1/4 gram or less"
10923325388,"","4-6 grams","","",""
10922773382,"1/2 gram","","","",""
10908463163,"","","","",""
10900800324,"","2-3 grams","","",""
10894995749,"","1  gram","","","1/2 gram"
10893948558,"","","","",""
10893671348,"4-6 grams","","","","2-3 grams"
10893268968,"","None","","",""
10893153651,"1/4 ounce (~7 grams)","","","","15 grams to 1 ounce (~28 grams)"
10892827041,"8 grams to 1/2 ounce (~14 grams)","","","","1  gram"
10890414342,"2-3 grams","","","",""
10889700541,"2-3 grams","","","","1/4 gram or less"
10888170961,"","4-6 grams","","",""
10887410730,"More than 1 ounce","1/4 gram or less","","",""
10887363314,"1/4 ounce (~7 grams)","","","",""
10886185272,"","1  gram","","","8 grams to 1/2 ounce (~14 grams)"
10885623844,"4-6 grams","","","","1  gram"
10884768912,"1  gram","","","",""
10883497633,"None","","","",""
10882385979,"1/4 ounce (~7 grams)","","","",""
10880715177,"","","","",""
10879268147,"1/4 ounce (~7 grams)","2-3 grams","","","1  gram"
10879062209,"1/4 gram or less","","","",""
10878751296,"8 grams to 1/2 ounce (~14 grams)","1/2 gram","","",""
10878422887,"","","","",""
10878214093,"","","","",""
10877788133,"","","","",""
10877606410,"","","","",""
10877565497,"","","","",""
10877478788,"","1/4 ounce (~7 grams)","","",""
10877416704,"","","","",""
10877375002,"More than 1 ounce","","","",""
10876876072,"","","","",""
10876604101,"","1/4 gram or less","","",""
10876392009,"","","","",""
10876336346,"","","","",""
10876001530,"","","","","1  gram"
10875944995,"","","","",""
10875696093,"2-3 grams","","","",""
10875617011,"","","","",""
10875530570,"","","","",""
10875529110,"","","","",""
10875526461,"15 grams to 1 ounce (~28 grams)","2-3 grams","","","I don't know how much I use per week"
10875511603,"","","","",""
10875507777,"","","","",""
10875479466,"1/2 gram","","","",""
10875473988,"4-6 grams","1  gram","","",""
10875462742,"","","","",""
10875460020,"","","","",""
10875458883,"","","","","2-3 grams"
10874749577,"2-3 grams","","","",""
10872986638,"2-3 grams","1  gram","","","1/4 gram or less"
10872649413,"","","","",""
10872582813,"More than 1 ounce","","","","2-3 grams"
10870148985,"2-3 grams","1  gram","","",""
10867810520,"","","","",""
10867615622,"","","","",""
10867323115,"8 grams to 1/2 ounce (~14 grams)","","","",""
10865633390,"15 grams to 1 ounce (~28 grams)","","","","1/2 gram"
10865132242,"I don't know how much I use per week","","","",""
10864981709,"15 grams to 1 ounce (~28 grams)","","","","None"
10864944007,"1/4 ounce (~7 grams)","","","","2-3 grams"
10864900624,"4-6 grams","","","",""
10864052390,"1/4 ounce (~7 grams)","","","",""
10861388917,"8 grams to 1/2 ounce (~14 grams)","","","",""
10860704252,"","","","",""
10860535252,"","","","",""
10860154215,"2-3 grams","1/2 gram","","","1/4 gram or less"
10859616580,"","","","",""
10859079118,"4-6 grams","","","",""
10858082192,"","","","","I don't know how much I use per week"
10857725293,"2-3 grams","","","",""
10857243738,"1/4 gram or less","","","",""
10856437127,"I don't know how much I use per week","","","",""
10856003172,"4-6 grams","1  gram","","",""
10855896441,"","","","",""
10851677235,"1/4 ounce (~7 grams)","","","",""
10851333216,"1  gram","","","",""
10851063447,"","","","",""
10850929741,"","8 grams to 1/2 ounce (~14 grams)","","","1  gram"
10849691686,"1/2 gram","1/4 gram or less","","",""
10848742483,"","","","",""
10848597634,"15 grams to 1 ounce (~28 grams)","","","",""
10848029491,"","","","",""
10847964940,"","","","",""
10847826329,"2-3 grams","","","","1  gram"
10847317503,"2-3 grams","","","","1  gram"
10847312529,"1/4 gram or less","","","",""
10847253946,"2-3 grams","","","",""
10847177434,"","1  gram","","",""
10847172551,"","","","",""
10847151018,"","4-6 grams","","",""
10847076490,"","","","",""
10847049077,"I don't know how much I use per week","","","",""
10847042681,"2-3 grams","","","","1/4 gram or less"
10847042555,"15 grams to 1 ounce (~28 grams)","","","",""
10847010995,"","","","",""
10847009623,"","","","",""
10847006667,"8 grams to 1/2 ounce (~14 grams)","","","",""
10846990356,"1/4 gram or less","None","","",""
10845744369,"1/4 gram or less","","","",""
10844664050,"1/4 gram or less","","","","1/2 gram"
10844360022,"","1/4 gram or less","","",""
10844298162,"","","","",""
10844291789,"4-6 grams","","","",""
10844260968,"1  gram","1/2 gram","","",""
10844236012,"1/2 gram","1/4 gram or less","","","1  gram"
10844223289,"1/4 ounce (~7 grams)","","","","1  gram"
10844213348,"","","","",""
10843917537,"","","","",""
10843875549,"2-3 grams","","","",""
10843856498,"I don't know how much I use per week","","","",""
10843842634,"2-3 grams","","","","1/2 gram"
10843819934,"","","","",""
10843816117,"","1  gram","","","1/4 gram or less"
10843815732,"4-6 grams","1/4 gram or less","","",""
10843808762,"2-3 grams","","","",""
10843799997,"1/4 ounce (~7 grams)","","","",""
10843795703,"","","","",""
10843259075,"1/4 gram or less","","","",""
10843006971,"More than 1 ounce","1/4 gram or less","","","1  gram"
10842274754,"1/4 gram or less","","","",""
10841078256,"4-6 grams","","","",""
10841050682,"More than 1 ounce","","","","2-3 grams"
10840899449,"4-6 grams","","","",""
10840178037,"8 grams to 1/2 ounce (~14 grams)","1/4 gram or less","","","4-6 grams"
10837706698,"","I don't know how much I use per week","","",""
10837056649,"2-3 grams","","","",""
10836382971,"8 grams to 1/2 ounce (~14 grams)","","","","1/4 ounce (~7 grams)"
10836330737,"4-6 grams","","","","1/4 gram or less"
10836154511,"1/4 ounce (~7 grams)","","","",""
10835578531,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
10835384840,"","","","",""
10834663571,"15 grams to 1 ounce (~28 grams)","","","","I don't know how much I use per week"
10834379529,"1/4 ounce (~7 grams)","","","",""
10834332090,"","","","",""
10834249218,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
10834149798,"","","","","1  gram"
10834053271,"2-3 grams","1/2 gram","","","1/4 gram or less"
10833790283,"1/4 ounce (~7 grams)","","","","1  gram"
10833722328,"","","","",""
10833532176,"","","","",""
10832963325,"","","","","8 grams to 1/2 ounce (~14 grams)"
10832733276,"","","","",""
10832732691,"","","","",""
10832483530,"","","","",""
10832451640,"1  gram","","","",""
10832404058,"1  gram","","","","1/4 gram or less"
10832343863,"","","","",""
10832270581,"2-3 grams","","","","1/2 gram"
10832233395,"","8 grams to 1/2 ounce (~14 grams)","","",""
10832233224,"","1/2 gram","","",""
10832224616,"1  gram","","","",""
10832206360,"","","","",""
10832200410,"8 grams to 1/2 ounce (~14 grams)","","","","1/4 gram or less"
10832173617,"","","","","4-6 grams"
10832167633,"1/2 gram","","","",""
10832133946,"15 grams to 1 ounce (~28 grams)","1/2 gram","","",""
10832128566,"","","","",""
10832123166,"2-3 grams","","","",""
10832012122,"1  gram","","","",""
10831948698,"1/4 gram or less","","","",""
10831931418,"1/2 gram","","","",""
10831898832,"4-6 grams","","","",""
10831893906,"","","","",""
10831865696,"4-6 grams","1/2 gram","","",""
