"q74","What was the highest pay grade/rank achieved at the time of formal discharge?","n =  419"
"response","count","percent_responded"
"E4","64","15.27"
"E5","51","12.17"
"E-4","31","7.4"
"E-5","31","7.4"
"E3","25","5.97"
"E6","16","3.82"
"E-6","12","2.86"
"E-3","11","2.63"
"e4","7","1.67"
"e-4","5","1.19"
"e5","5","1.19"
"E7","5","1.19"
"E8","5","1.19"
"E1","4","0.95"
"E2","4","0.95"
"e3","4","0.95"
"Sgt","4","0.95"
"E6/SSG","3","0.72"
"Lance Corporal","3","0.72"
"PFC","3","0.72"
"SGT","3","0.72"
"Specialist","3","0.72"
"1LT","2","0.48"
"4","2","0.48"
"Colonel","2","0.48"
"Corporal","2","0.48"
"E-2","2","0.48"
"e-3","2","0.48"
"E-6/SSG","2","0.48"
"E-7","2","0.48"
"E-8","2","0.48"
"E 4","2","0.48"
"e6","2","0.48"
"Private","2","0.48"
"Sargent","2","0.48"
"Sergeant","2","0.48"
"SSG/E6","2","0.48"
"0-4","1","0.24"
"1SG","1","0.24"
"5","1","0.24"
"5 Star General","1","0.24"
"A1C","1","0.24"
"AIR FORCE CADET","1","0.24"
"Captain","1","0.24"
"cpl","1","0.24"
"Cpl","1","0.24"
"CPL.","1","0.24"
"CW3","1","0.24"
"CW3 W3","1","0.24"
"E-0","1","0.24"
"E-2/PFC","1","0.24"
"e-4/mm3","1","0.24"
"E-4/SPC","1","0.24"
"e-5","1","0.24"
"E-5 ","1","0.24"
"E-5 BT2","1","0.24"
"E-5 P.","1","0.24"
"E-5 SGT","1","0.24"
"E-5/Sergeant","1","0.24"
"E-5/SGT","1","0.24"
"E-6 staff Sargent ","1","0.24"
"E-6/Technical Sergeant","1","0.24"
"E-7 SFC","1","0.24"
"E-8/First Sergeant","1","0.24"
"E 5","1","0.24"
"E/3","1","0.24"
"E4 spc","1","0.24"
"E4 specialist/corporal","1","0.24"
"E4/Specialist","1","0.24"
"E4P","1","0.24"
"E5/SGT","1","0.24"
"E7/SFC ","1","0.24"
"E8/1SG","1","0.24"
"First Sergeant/E8","1","0.24"
"GS12/6","1","0.24"
"LCDR","1","0.24"
"Lt","1","0.24"
"Lt. USN","1","0.24"
"Major","1","0.24"
"MSG","1","0.24"
"MSG/E8","1","0.24"
"MSgt/E-7","1","0.24"
"N/a","1","0.24"
"N/A","1","0.24"
"na","1","0.24"
"Nco","1","0.24"
"O-3","1","0.24"
"O-4","1","0.24"
"O-5/Lt Col","1","0.24"
"O3","1","0.24"
"O6","1","0.24"
"PFC E-3","1","0.24"
"prefer not to answer","1","0.24"
"prefer not to say","1","0.24"
"sargeant","1","0.24"
"Sargent-field promotion","1","0.24"
"Seaman","1","0.24"
"Sergeant ","1","0.24"
"Sergeant E5","1","0.24"
"Sergeant/ E-5","1","0.24"
"sgt","1","0.24"
"Sgt  E5","1","0.24"
"SGT E-5","1","0.24"
"sgt E5","1","0.24"
"Sgt e5","1","0.24"
"SGT E5","1","0.24"
"Sgt.","1","0.24"
"Sgt. E-4","1","0.24"
"Sgt. E-5","1","0.24"
"SGT/E5","1","0.24"
"Sp/4","1","0.24"
"Sp4","1","0.24"
"spc","1","0.24"
"Spc","1","0.24"
"Spc4, I was offered chief by Pompey and I threatened him and that fat fuck had me pickled, I gonna kill him Mike Pompeo he's got my hat too that we argued over.","1","0.24"
"Spec-5","1","0.24"
"Spec 5","1","0.24"
"Specialist 4","1","0.24"
"Ssg","1","0.24"
"SSG","1","0.24"
"SSG army","1","0.24"
"Ssgt ","1","0.24"
"Ssgt E5","1","0.24"
"Staff Sergeant","1","0.24"
"Staff sergeant ","1","0.24"
"TSgt","1","0.24"
"Unkown","1","0.24"
