"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  144  avg =  84.528"
"response","count","percent_responded"
"0","84","58.33"
"200","6","4.17"
"30","6","4.17"
"10","4","2.78"
"150","4","2.78"
"300","4","2.78"
"400","4","2.78"
"50","4","2.78"
"100","3","2.08"
"20","3","2.08"
"500","3","2.08"
"1","2","1.39"
"350","2","1.39"
"40","2","1.39"
"70","2","1.39"
"1400","1","0.69"
"24","1","0.69"
"25","1","0.69"
"250","1","0.69"
"44","1","0.69"
"440","1","0.69"
"600","1","0.69"
"7","1","0.69"
"700","1","0.69"
"80","1","0.69"
"800","1","0.69"
