"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  144  avg =  17.431"
"response","count","percent_responded"
"0","59","40.97"
"100","5","3.47"
"11","4","2.78"
"17","4","2.78"
"19","4","2.78"
"1","3","2.08"
"18","3","2.08"
"20","3","2.08"
"27","3","2.08"
"30","3","2.08"
"8","3","2.08"
"10","2","1.39"
"13","2","1.39"
"16","2","1.39"
"2","2","1.39"
"21","2","1.39"
"29","2","1.39"
"3","2","1.39"
"33","2","1.39"
"43","2","1.39"
"49","2","1.39"
"50","2","1.39"
"6","2","1.39"
"64","2","1.39"
"7","2","1.39"
"12","1","0.69"
"14","1","0.69"
"22","1","0.69"
"24","1","0.69"
"25","1","0.69"
"26","1","0.69"
"28","1","0.69"
"32","1","0.69"
"34","1","0.69"
"35","1","0.69"
"39","1","0.69"
"4","1","0.69"
"42","1","0.69"
"47","1","0.69"
"48","1","0.69"
"51","1","0.69"
"53","1","0.69"
"54","1","0.69"
"57","1","0.69"
"77","1","0.69"
"85","1","0.69"
"9","1","0.69"
