"q53","On average, how much do you spend (in US dollars) on consumable cannabis products per week?","n =  144  avg =  91.993"
"response","count","percent_responded"
"100","21","14.58"
"50","21","14.58"
"25","11","7.64"
"0","9","6.25"
"200","9","6.25"
"60","8","5.56"
"150","7","4.86"
"20","7","4.86"
"40","7","4.86"
"10","5","3.47"
"30","5","3.47"
"300","5","3.47"
"120","4","2.78"
"75","4","2.78"
"35","3","2.08"
"80","3","2.08"
"1","1","0.69"
"110","1","0.69"
"12","1","0.69"
"125","1","0.69"
"140","1","0.69"
"15","1","0.69"
"175","1","0.69"
"250","1","0.69"
"33","1","0.69"
"400","1","0.69"
"425","1","0.69"
"5","1","0.69"
"56","1","0.69"
"700","1","0.69"
"800","1","0.69"
