"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  284"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","80","28.17"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","72","25.35"
"I don’t take any medications","66","23.24"
"I have reduced my prescription medication use in the past","56","19.72"
"Anti-inflammatories","44","15.49"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","43","15.14"
"Muscle relaxants","42","14.79"
"I'm not trying to reduce any medication use","41","14.44"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","35","12.32"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","30","10.56"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","15","5.28"
"Sedatives/hypnotics","14","4.93"
"Other (please specify)","11","3.87"
"Steroids, including steroid creams","10","3.52"
"Antimigraine","9","3.17"
"Antipsychotics (e.g. Abilify, Seroquel)","9","3.17"
"Beta Blockers","9","3.17"
"Statins (e.g. Lipitor, Crestor)","8","2.82"
"Antihypertensives","7","2.46"
"Proton pump inhibitors","5","1.76"
"Barbiturates (e.g. Floricet)","4","1.41"
"Insulin","2","0.7"
"Antiemetics","1","0.35"
"Hormone replacement therapy (HRT)","1","0.35"
