"q56","What is your favorite cannabis strain?","n =  284"
"response","count","percent_responded"
"N/A","7","2.8"
"None","5","2"
"Sativa","5","2"
"Blue dream","4","1.6"
"Blue Dream","4","1.6"
"Na","4","1.6"
"Sour Diesel","4","1.6"
"GDP","3","1.2"
"Jack Herer","3","1.2"
"Any","2","0.8"
"Cape Cod Kush","2","0.8"
"GG#4","2","0.8"
"GG4","2","0.8"
"Gorilla glue","2","0.8"
"Gorilla Glue","2","0.8"
"Green Crack","2","0.8"
"Honey Bananas","2","0.8"
"Jack Herrer","2","0.8"
"Kush","2","0.8"
"Master Kush","2","0.8"
"n/a","2","0.8"
"na","2","0.8"
"none","2","0.8"
"Og Kush","2","0.8"
"Trainwreck","2","0.8"
"White Widow","2","0.8"
"1:01","1","0.4"
"92 Cookies","1","0.4"
"9lb Hammer","1","0.4"
"AC/DC","1","0.4"
"Afghan Skunk","1","0.4"
"Afghani Goo","1","0.4"
"Ak 47","1","0.4"
"ak47","1","0.4"
"Alaska thunder f””k","1","0.4"
"all","1","0.4"
"Amnesia Haze","1","0.4"
"any","1","0.4"
"Any kush","1","0.4"
"atf","1","0.4"
"Banana Cake","1","0.4"
"Big bud","1","0.4"
"Big Buddha cheese ","1","0.4"
"Billy Kimber OG","1","0.4"
"Blissful wizard ","1","0.4"
"blue dream","1","0.4"
"Blue dream ","1","0.4"
"Blue dream sour jack","1","0.4"
"Blue Dreams","1","0.4"
"Blue Mountain Durban","1","0.4"
"blueberry cheesecake","1","0.4"
"Blueberry Yum Yum","1","0.4"
"Bluedream","1","0.4"
"Bootylicious","1","0.4"
"Bordello","1","0.4"
"Bruce Banner","1","0.4"
"Bubble gum","1","0.4"
"Buddas Sister","1","0.4"
"Cali OG","1","0.4"
"cannatonic","1","0.4"
"Carious","1","0.4"
"CBD God","1","0.4"
"charlottes web","1","0.4"
"Chem","1","0.4"
"Chem Dawg 4","1","0.4"
"Cherry cream pie ","1","0.4"
"Chocolate Thai","1","0.4"
"Chocolope ","1","0.4"
"CHRONIC","1","0.4"
"Cinderella 99","1","0.4"
"Combat cookie ","1","0.4"
"D/K","1","0.4"
"Dakini Kush","1","0.4"
"don't have a favorite","1","0.4"
"Don't know","1","0.4"
"Don’t know","1","0.4"
"Don’t know ","1","0.4"
"Dragon's breath","1","0.4"
"Durban Poision","1","0.4"
"Durban Poison ","1","0.4"
"Electric Funk","1","0.4"
"Facewreck","1","0.4"
"Flo","1","0.4"
"Four Lights ","1","0.4"
"Gelato 33","1","0.4"
"GG","1","0.4"
"GG ","1","0.4"
"GG #4 , Blue Dream","1","0.4"
"Ghost OG","1","0.4"
"Ghost train haze","1","0.4"
"Girl Scout cookie","1","0.4"
"Girl scout cookies","1","0.4"
"Girl Scout Cookies","1","0.4"
"girl scout cookies/og kush","1","0.4"
"Golden Goat","1","0.4"
"Gorilla Cookies","1","0.4"
"Gorilla Glue 4","1","0.4"
"Gorilla glue 5","1","0.4"
"Gorrila glue","1","0.4"
"Grand Daddy Purple","1","0.4"
"Grandaddy Purple","1","0.4"
"Grandady purple","1","0.4"
"Granddaddy Purple ","1","0.4"
"Grape Ape","1","0.4"
"Grape God","1","0.4"
"Gsc","1","0.4"
"GSC","1","0.4"
"Harle-Tsu","1","0.4"
"Harlequin","1","0.4"
"Have not tried all","1","0.4"
"haze","1","0.4"
"Hemp","1","0.4"
"high thc","1","0.4"
"Hollywood","1","0.4"
"holy grail","1","0.4"
"Holy Grail Kush","1","0.4"
"I don't have a favorite","1","0.4"
"I don't know","1","0.4"
"I don't really have a preference","1","0.4"
"Idk","1","0.4"
"Indica","1","0.4"
"Indica ","1","0.4"
"Jack","1","0.4"
"Jack herer","1","0.4"
"Jack herer ","1","0.4"
"Jack herrer","1","0.4"
"King Tutankhamon","1","0.4"
"La Confidential","1","0.4"
"LA CONFIDENTIAL","1","0.4"
"Lavender","1","0.4"
"Lemon haze","1","0.4"
"lemon ice","1","0.4"
"Lemon jeffrt","1","0.4"
"Lemon Miringue","1","0.4"
"Lemon Skunk","1","0.4"
"Liquid Cocaine ","1","0.4"
"Louis XIV","1","0.4"
"Lsd","1","0.4"
"LSD","1","0.4"
"M47","1","0.4"
"Maui Wowie","1","0.4"
"Member Berry","1","0.4"
"Mentdown","1","0.4"
"Mimosa","1","0.4"
"Moonshine Haze","1","0.4"
"mountain Duex","1","0.4"
"Mower Wowie","1","0.4"
"Mowi wowi","1","0.4"
"n/A","1","0.4"
"N/a","1","0.4"
"Na ","1","0.4"
"Night nurse ","1","0.4"
"No clue","1","0.4"
"No favorite","1","0.4"
"Northern Lights","1","0.4"
"Northern Lights ","1","0.4"
"not sure","1","0.4"
"Og","1","0.4"
"OG","1","0.4"
"OG Kush","1","0.4"
"Orange Chemeleon","1","0.4"
"Orange Guava","1","0.4"
"Peanut butter breath ","1","0.4"
"Phantom mile","1","0.4"
"Pineapple","1","0.4"
"Pineapple express","1","0.4"
"Pineapple Express","1","0.4"
"Popcorn","1","0.4"
"Purple kush","1","0.4"
"Purple Kush","1","0.4"
"Purple Punch ","1","0.4"
"Purple urkel","1","0.4"
"Ray Charles","1","0.4"
"Ricks pupil","1","0.4"
"Rozay","1","0.4"
"sativa","1","0.4"
"Sativa ","1","0.4"
"Silver Kush","1","0.4"
"skunk #1","1","0.4"
"Skywalker","1","0.4"
"SkyWalker Kush","1","0.4"
"Sour deisel","1","0.4"
"Sour Deisel","1","0.4"
"Sour diesel","1","0.4"
"Sour diesel ","1","0.4"
"Sour Diesel ","1","0.4"
"Sour tangie ","1","0.4"
"Sour Tangie ","1","0.4"
"Sour tsunami, and Harley Quinn ","1","0.4"
"Stevia","1","0.4"
"strawberry cough","1","0.4"
"Strawberry cough","1","0.4"
"Tangerine Dream ","1","0.4"
"test","1","0.4"
"Texada","1","0.4"
"Too many to list","1","0.4"
"Train Wreck","1","0.4"
"Unk","1","0.4"
"varies","1","0.4"
"way to many to list, I got 10 on deck right now","1","0.4"
"Wedding crasher","1","0.4"
"White widow ","1","0.4"
"Willies Reserve","1","0.4"
