"q57","What product(s) and/or strain(s) do you want that are not currently available in your local dispensaries?","n =  284"
"response","count","percent_responded"
"N/A","19","6.69"
"None","16","5.63"
"n/a","9","3.17"
"none","9","3.17"
"?","7","2.46"
"N/a","6","2.11"
"Na","5","1.76"
"Not sure","5","1.76"
"na","4","1.41"
NA,"4","1.41"
"All","3","1.06"
"All of them","2","0.7"
"Don’t know ","2","0.7"
"Edibles","2","0.7"
"I don't know","2","0.7"
"Idk","2","0.7"
"not sure","2","0.7"
"Sativa","2","0.7"
"Unknown ","2","0.7"
"Unsure","2","0.7"
"  x","1","0.35"
"1 gram vape cartridges ","1","0.35"
"1:1 strains clones and seeds for vets","1","0.35"
"3:1 cbd tincture","1","0.35"
"a","1","0.35"
"AC DC","1","0.35"
"AC/dc","1","0.35"
"AC/DC (only for medical patients, since I use VA only, I can’t get the high CBD products for medical patients, so I use 1:1, which is still too high in THC","1","0.35"
"Ac/dc, cannatonic","1","0.35"
"affordable products","1","0.35"
"African Black ","1","0.35"
"all","1","0.35"
"All of them ","1","0.35"
"All Strains (flower not legal in NY)","1","0.35"
"ANY","1","0.35"
"Any ","1","0.35"
"Any - Virginia can't get it's act together","1","0.35"
"Any high grade sativa","1","0.35"
"Anything from California","1","0.35"
"Avidekal","1","0.35"
"Banana kush","1","0.35"
"Better flower","1","0.35"
"better prices like Maine","1","0.35"
"Canadian beasters ","1","0.35"
"Cannabutter","1","0.35"
"Cannagars","1","0.35"
"Capsules, and stronger edibles","1","0.35"
"Cartridges and edibles","1","0.35"
"CBD candy","1","0.35"
"CBD/THC 1:1","1","0.35"
"CHRONIC","1","0.35"
"Combat cookies","1","0.35"
"Consistent strains ","1","0.35"
"Critical Kush","1","0.35"
"CT dispensaries and overall program needs reform.","1","0.35"
"DAB TABS","1","0.35"
"Devil’s Cookies","1","0.35"
"diamonds","1","0.35"
"Dips and pouches, hemp derived CBD, seeds, diamonds (concentrate), Bloody skunk (Flower strain), full melt, Bubble hash, hash rosin","1","0.35"
"do not use dispensaries.","1","0.35"
"don't know","1","0.35"
"Don't know","1","0.35"
"Don’t know","1","0.35"
"dont have dispenseries","1","0.35"
"Dont know","1","0.35"
"dr grinspoon","1","0.35"
"Drinks","1","0.35"
"Dude, where's my bike?","1","0.35"
"durban poison","1","0.35"
"Durban Poison flower","1","0.35"
"Edibles ","1","0.35"
"enough edibles","1","0.35"
"Flavored vape cart","1","0.35"
"flower","1","0.35"
"Flower","1","0.35"
"Flower of any kind.","1","0.35"
"Food edibles","1","0.35"
"FrankenPuna ","1","0.35"
"Garrila glue","1","0.35"
"gg","1","0.35"
"Ghost train Haze ","1","0.35"
"glass bangers and proper dab rigs. ","1","0.35"
"Grandpa Larry","1","0.35"
"Grape God","1","0.35"
"Greater mixes of CBG:THC ratios","1","0.35"
"Green Crack","1","0.35"
"gsc","1","0.35"
"Guava IX","1","0.35"
"Harleyquinn","1","0.35"
"Hash oils","1","0.35"
"Hash, more edible choices","1","0.35"
"hashish","1","0.35"
"Hawaiian ","1","0.35"
"Hawaiian or Sensamellian","1","0.35"
"Hemp derived products ","1","0.35"
"high terpene profiles","1","0.35"
"Higher CBD strains","1","0.35"
"hybrid capsules","1","0.35"
"I don't have legal access to cannabis","1","0.35"
"I don't knoe","1","0.35"
"I don't know enough to answer this.","1","0.35"
"I don't know yet","1","0.35"
"I enjoy the selection of the dispensaries within my area. ","1","0.35"
"I have access to the types I want","1","0.35"
"Isn’t legal for medical use in my state ","1","0.35"
"It to be legal - period","1","0.35"
"Its all there","1","0.35"
"Jack Herer ","1","0.35"
"Jack Herrer, Skywalker, purple train wreck","1","0.35"
"Kief","1","0.35"
"Kush","1","0.35"
"Lambs breath, landrace strains","1","0.35"
"Lemon G","1","0.35"
"Live resin, diamonds, sauce, sugar","1","0.35"
"Local Dispensaries lol","1","0.35"
"Look","1","0.35"
"Lotions","1","0.35"
"Lower powered/cheaper flower so I can consume it more regularly","1","0.35"
"Lucky Charms","1","0.35"
"Many of them, so I grow my own","1","0.35"
"Maui waui","1","0.35"
"Maui woweie","1","0.35"
"MJs Wellness","1","0.35"
"Moon rocks","1","0.35"
"More 1:1 or 2:1 thc:cbd ratio","1","0.35"
"more balanced CBD/THC products","1","0.35"
"More concentrate selection","1","0.35"
"More edible variety","1","0.35"
"more indicas","1","0.35"
