"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  284"
"response","count","percent_responded"
"Anxiety","200","70.42"
"Depression","191","67.25"
"Chronic pain","190","66.9"
"Posttraumatic stress disorder (PTSD)","150","52.82"
"Arthritis","99","34.86"
"Insomnia","98","34.51"
"Allergies","68","23.94"
"Gastrointestinal/digestive system disorders","59","20.77"
"Hypertension","59","20.77"
"Other (please specify)","49","17.25"
"Substance abuse/addiction","46","16.2"
"Obesity","42","14.79"
"Attention deficit/hyperactivity disorder (ADHD)","36","12.68"
"Reflux esophagitis","33","11.62"
"Respiratory problems","32","11.27"
"Cancer","31","10.92"
"Diabetes","25","8.8"
"Inflammatory bowel disease (IBD)","24","8.45"
"Bipolar/manic depression","19","6.69"
"Eczema","18","6.34"
"Cardiovascular disease","16","5.63"
"Fibromyalgia/myositis","12","4.23"
"Epilepsy","4","1.41"
"HIV/AIDS","3","1.06"
"Multiple sclerosis","3","1.06"
"Alzheimer's","1","0.35"
