"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11250741921,"4-6 grams","2-3 grams","","","1  gram"
11250528880,"1/4 gram or less","","","","1/2 gram"
11250243595,"2-3 grams","","","",""
11249871277,"4-6 grams","","","",""
11249832802,"2-3 grams","1  gram","","",""
11248704898,"4-6 grams","","","",""
11248164514,"1/4 ounce (~7 grams)","1/2 gram","","","1/4 gram or less"
11246906361,"","","","",""
11245529294,"4-6 grams","","","",""
11241251752,"4-6 grams","","","",""
11239200945,"","","","",""
11239077222,"8 grams to 1/2 ounce (~14 grams)","1/4 gram or less","","","1  gram"
11239041530,"2-3 grams","","","","1  gram"
11238685800,"1  gram","","","","1/4 gram or less"
11238077963,"1/4 gram or less","","","",""
11232533197,"4-6 grams","","","",""
11231679765,"","","","",""
11226611149,"","","","",""
11221636373,"4-6 grams","","","","I don't know how much I use per week"
11215609540,"4-6 grams","","","","None"
11215559561,"1/4 gram or less","","","","1  gram"
11214928564,"1  gram","","","",""
11212784708,"15 grams to 1 ounce (~28 grams)","","","",""
11212618775,"1  gram","","","",""
11211717848,"","","","","1  gram"
11208627585,"8 grams to 1/2 ounce (~14 grams)","15 grams to 1 ounce (~28 grams)","","","More than 1 ounce"
11188216657,"2-3 grams","","","","1/4 gram or less"
11181279818,"2-3 grams","","","","1/4 gram or less"
11179999382,"1  gram","","","",""
11170108737,"1/4 ounce (~7 grams)","","","",""
11166893092,"1/4 gram or less","","","","4-6 grams"
11166474867,"","1/2 gram","","",""
11166384877,"1/4 gram or less","","","",""
11161813510,"","","","",""
11156698544,"8 grams to 1/2 ounce (~14 grams)","","","",""
11150766346,"8 grams to 1/2 ounce (~14 grams)","1/4 gram or less","","","None"
11149744263,"","","","",""
11148900374,"","","","",""
11140621270,"2-3 grams","","","",""
11138930846,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
11138361963,"1/4 ounce (~7 grams)","","","","1  gram"
11137652132,"","","","",""
11137570486,"2-3 grams","","","",""
11136798812,"2-3 grams","","","",""
11135778856,"1/2 gram","","","",""
11135727852,"I don't know how much I use per week","","","",""
11135411524,"1  gram","","","",""
11135122023,"1  gram","","","",""
11135054998,"2-3 grams","","","",""
11135022253,"15 grams to 1 ounce (~28 grams)","8 grams to 1/2 ounce (~14 grams)","","",""
11134769709,"","I don't know how much I use per week","","",""
11134708109,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
11134691787,"8 grams to 1/2 ounce (~14 grams)","1/2 gram","","","1/4 gram or less"
11134549629,"","2-3 grams","","",""
11134536706,"8 grams to 1/2 ounce (~14 grams)","","","","1/2 gram"
11134531419,"1/4 ounce (~7 grams)","","","",""
11134504342,"2-3 grams","","","",""
