"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  284"
"response","count","percent_responded"
"Chronic pain","92","32.39"
"Posttraumatic stress disorder (PTSD)","74","26.06"
"Anxiety","28","9.86"
"Depression","26","9.15"
"Insomnia","14","4.93"
"Arthritis","10","3.52"
"Cancer","8","2.82"
"Bipolar/manic depression","5","1.76"
"Gastrointestinal/digestive system disorders","4","1.41"
"Cardiovascular disease","3","1.06"
"Hypertension","3","1.06"
"Obesity","3","1.06"
"Respiratory problems","3","1.06"
"Diabetes","2","0.7"
"Fibromyalgia/myositis","2","0.7"
"Multiple sclerosis","2","0.7"
"Substance abuse/addiction","2","0.7"
"Attention deficit/hyperactivity disorder (ADHD)","1","0.35"
"Inflammatory bowel disease (IBD)","1","0.35"
"Reflux esophagitis","1","0.35"
