"q98","What state in the US do you currently live in?","n =  265"
"response","count","percent_responded"
"Massachusetts","118","44.53"
"California","17","6.42"
"Florida","10","3.77"
"New York","10","3.77"
"Ohio","7","2.64"
"Maine","6","2.26"
"Texas","6","2.26"
"Washington","6","2.26"
"Georgia","5","1.89"
"Illinois","5","1.89"
"New Hampshire","5","1.89"
"Oregon","5","1.89"
"Virginia","5","1.89"
"Arizona","4","1.51"
"Maryland","4","1.51"
"Pennsylvania","4","1.51"
"Tennessee","4","1.51"
"Arkansas","3","1.13"
"Colorado","3","1.13"
"Hawaii","3","1.13"
"Indiana","3","1.13"
"Louisiana","3","1.13"
"West Virginia","3","1.13"
"Alaska","2","0.75"
"Connecticut","2","0.75"
"Michigan","2","0.75"
"Montana","2","0.75"
"Nevada","2","0.75"
"New Mexico","2","0.75"
"North Carolina","2","0.75"
"Other (please specify)","2","0.75"
"Iowa","1","0.38"
"Kentucky","1","0.38"
"Minnesota","1","0.38"
"Mississippi","1","0.38"
"North Dakota","1","0.38"
"Oklahoma","1","0.38"
"South Carolina","1","0.38"
"Utah","1","0.38"
"Vermont","1","0.38"
"Wisconsin","1","0.38"
