"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  79"
"response","count","percent_responded"
"Anxiety","66","83.54"
"Chronic pain","58","73.42"
"Depression","52","65.82"
"Posttraumatic stress disorder (PTSD)","49","62.03"
"Insomnia","38","48.1"
"Arthritis","28","35.44"
"Substance abuse/addiction","13","16.46"
"Attention deficit/hyperactivity disorder (ADHD)","11","13.92"
"Bipolar/manic depression","10","12.66"
"Gastrointestinal/digestive system disorders","10","12.66"
"Hypertension","7","8.86"
"Fibromyalgia/myositis","6","7.59"
"Reflux esophagitis","5","6.33"
"HIV/AIDS","4","5.06"
"Inflammatory bowel disease (IBD)","4","5.06"
"Allergies","3","3.8"
"Cardiovascular disease","3","3.8"
"Other (please specify)","3","3.8"
"Respiratory problems","3","3.8"
"Alzheimer's","1","1.27"
"Cancer","1","1.27"
"Diabetes","1","1.27"
"Eczema","1","1.27"
"Epilepsy","1","1.27"
"Multiple sclerosis","1","1.27"
