"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11241395977,"2-3 grams","","","",""
11239041530,"2-3 grams","","","","1  gram"
11236750096,"","","","",""
11222559871,"1  gram","","","",""
11211717848,"","","","","1  gram"
11208627585,"8 grams to 1/2 ounce (~14 grams)","15 grams to 1 ounce (~28 grams)","","","More than 1 ounce"
11183903124,"1  gram","4-6 grams","","",""
11179999382,"1  gram","","","",""
11161813510,"","","","",""
11135570279,"15 grams to 1 ounce (~28 grams)","","","","1  gram"
11134799419,"","","","",""
11134549629,"","2-3 grams","","",""
11134504342,"2-3 grams","","","",""
11034650778,"4-6 grams","","","",""
11023090140,"","","","",""
10985275093,"15 grams to 1 ounce (~28 grams)","1/4 gram or less","","","1  gram"
10894995749,"","1  gram","","","1/2 gram"
10893671348,"4-6 grams","","","","2-3 grams"
10893153651,"1/4 ounce (~7 grams)","","","","15 grams to 1 ounce (~28 grams)"
10887363314,"1/4 ounce (~7 grams)","","","",""
10879268147,"1/4 ounce (~7 grams)","2-3 grams","","","1  gram"
10879062209,"1/4 gram or less","","","",""
10876510380,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
10876001530,"","","","","1  gram"
10875562577,"","1/4 gram or less","","",""
10875462742,"","","","",""
10856302482,"1/4 ounce (~7 grams)","","","",""
10848029491,"","","","",""
10847964940,"","","","",""
10847312529,"1/4 gram or less","","","",""
10847253946,"2-3 grams","","","",""
10847151018,"","4-6 grams","","",""
10847076490,"","","","",""
10844291789,"4-6 grams","","","",""
10843816117,"","1  gram","","","1/4 gram or less"
10843810346,"","","","",""
10843797483,"15 grams to 1 ounce (~28 grams)","","","","1/2 gram"
10840899449,"4-6 grams","","","",""
10839396047,"More than 1 ounce","","","","2-3 grams"
10832133946,"15 grams to 1 ounce (~28 grams)","1/2 gram","","",""
10831865696,"4-6 grams","1/2 gram","","",""
10831669468,"1  gram","","","","1/4 ounce (~7 grams)"
10831397885,"","","","",""
10822544735,"","","","",""
10758753382,"2-3 grams","1/2 gram","","",""
10756966241,"2-3 grams","","","",""
10688508584,"","","","",""
10686863888,"1  gram","","","",""
10676786628,"1/4 ounce (~7 grams)","None","","","1/4 gram or less"
10669140575,"1  gram","","","","15 grams to 1 ounce (~28 grams)"
10668597062,"","","","",""
10668361624,"","","","",""
10667582585,"","","","","2-3 grams"
10667384979,"I don't know how much I use per week","","","",""
10667384024,"","1/2 gram","","",""
10667369837,"8 grams to 1/2 ounce (~14 grams)","","","","None"
10658936778,"4-6 grams","","","",""
10658577550,"1/4 ounce (~7 grams)","","","",""
10658550964,"","","","","1/4 ounce (~7 grams)"
10596255014,"1/4 ounce (~7 grams)","","","","1  gram"
10585520406,"1/4 ounce (~7 grams)","8 grams to 1/2 ounce (~14 grams)","","",""
10583893598,"","","","",""
10580913646,"8 grams to 1/2 ounce (~14 grams)","","","","1/4 gram or less"
10577144137,"1/2 gram","","","","2-3 grams"
10576876213,"I don't know how much I use per week","","","",""
10574898510,"","","","",""
10566297731,"1/4 gram or less","1/2 gram","","","2-3 grams"
11186271761,"","1/4 gram or less","","","2-3 grams"
11170278059,"2-3 grams","","","",""
10977935510,"","2-3 grams","","",""
10632499407,"8 grams to 1/2 ounce (~14 grams)","","","","2-3 grams"
10632389881,"15 grams to 1 ounce (~28 grams)","","","","2-3 grams"
10600284760,"","","","",""
10598807297,"2-3 grams","","","",""
10579439505,"","","","",""
10767176517,"I don't know how much I use per week","","","",""
10758288741,"1/4 ounce (~7 grams)","","","",""
10581017097,"1/2 gram","","","",""
10569513731,"8 grams to 1/2 ounce (~14 grams)","","","",""
