"q76","Where were you deployed/stationed? (Please select all that apply)","n =  79"
"response","count","percent_responded"
"United States","61","77.22"
"Iraq","28","35.44"
"Other (please specify)","24","30.38"
"Afghanistan","20","25.32"
"Kuwait","18","22.78"
"Qatar","9","11.39"
"Saudi Arabia","8","10.13"
"South Korea","7","8.86"
"The United Arab Emirates","7","8.86"
"Oman Bahrain","6","7.59"
"Kosovo","5","6.33"
"Albania","4","5.06"
"Pakistan","4","5.06"
"Philippines","4","5.06"
"Kyrgyzstan","3","3.8"
"Somalia","3","3.8"
"The Federal Republic of Yugoslavia (Serbia/Montenegro)","3","3.8"
"Uzbekistan","3","3.8"
"Jordan","2","2.53"
"Lebanon","2","2.53"
"Sinai Peninsula","2","2.53"
"Syria","2","2.53"
"Tajikistan","2","2.53"
"The Adriatic Sea","2","2.53"
"Yemen","2","2.53"
"Djibouti","1","1.27"
"The Lonian Sea - north of the 39th parallel","1","1.27"
