"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  79"
"response","count","percent_responded"
"Burn Pits","33","41.77"
"Asbestos","19","24.05"
"I was not exposed to any of these","18","22.78"
"Gulf war illness","16","20.25"
"Specific Environmental Hazards","16","20.25"
"contaminated drinking water at camp Lejelune","12","15.19"
"Radiation Exposure","12","15.19"
"Other (please specify)","11","13.92"
"Agent Orange","7","8.86"
"Gulf war illness in Afghanistan","6","7.59"
"Contact with mustard gas or lewisite","4","5.06"
"Children having birth defects like Spina Bifida","3","3.8"
"Project 112/SHAD","1","1.27"
