"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  98"
"response","count","percent_responded"
"Chronic pain","93","94.9"
"Depression","62","63.27"
"Anxiety","61","62.24"
"Posttraumatic stress disorder (PTSD)","50","51.02"
"Arthritis","49","50"
"Insomnia","42","42.86"
"Hypertension","34","34.69"
"Gastrointestinal/digestive system disorders","32","32.65"
"Obesity","28","28.57"
"Reflux esophagitis","27","27.55"
"Allergies","23","23.47"
"Diabetes","22","22.45"
"Other (please specify)","21","21.43"
"Cardiovascular disease","18","18.37"
"Respiratory problems","15","15.31"
"Attention deficit/hyperactivity disorder (ADHD)","13","13.27"
"Fibromyalgia/myositis","12","12.24"
"Inflammatory bowel disease (IBD)","12","12.24"
"Substance abuse/addiction","12","12.24"
"Cancer","11","11.22"
"Bipolar/manic depression","7","7.14"
"Eczema","7","7.14"
"HIV/AIDS","2","2.04"
"Alzheimer's","1","1.02"
"Epilepsy","1","1.02"
"Multiple sclerosis","1","1.02"
