"q76","Where were you deployed/stationed? (Please select all that apply)","n =  98"
"response","count","percent_responded"
"United States","75","76.53"
"Other (please specify)","34","34.69"
"Iraq","24","24.49"
"Kuwait","20","20.41"
"Afghanistan","13","13.27"
"Philippines","11","11.22"
"Qatar","9","9.18"
"Saudi Arabia","8","8.16"
"South Korea","8","8.16"
"The United Arab Emirates","7","7.14"
"Oman Bahrain","6","6.12"
"Jordan","5","5.1"
"Sinai Peninsula","4","4.08"
"Kosovo","3","3.06"
"Kyrgyzstan","3","3.06"
"Pakistan","3","3.06"
"Somalia","3","3.06"
"The Adriatic Sea","3","3.06"
"The Federal Republic of Yugoslavia (Serbia/Montenegro)","3","3.06"
"Albania","2","2.04"
"Djibouti","2","2.04"
"Tajikistan","2","2.04"
"Uzbekistan","2","2.04"
"Yemen","2","2.04"
"Lebanon","1","1.02"
"Syria","1","1.02"
"The Lonian Sea - north of the 39th parallel","1","1.02"
