"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  98"
"response","count","percent_responded"
"Some college, no degree","28","28.57"
"Bachelor's degree","26","26.53"
"Associate's degree","14","14.29"
"High school degree or equivalent (GED)","13","13.27"
"Master's degree","7","7.14"
"Vocational degree","4","4.08"
"Professional degree (MD, JD, DDS, DVM)","3","3.06"
"Doctorate (Ph.D, Ed.D, etc)","2","2.04"
"Less than high school diploma","1","1.02"
