"q74","What was the highest pay grade/rank achieved at the time of formal discharge?","n =  391"
"response","count","percent_responded"
"E5","59","15.09"
"E4","55","14.07"
"E-4","25","6.39"
"E3","24","6.14"
"E-5","23","5.88"
"E6","20","5.12"
"E-6","10","2.56"
"E-3","8","2.05"
"e4","7","1.79"
"E7","7","1.79"
"e-4","5","1.28"
"E1","4","1.02"
"E2","4","1.02"
"E8","4","1.02"
"E-7","3","0.77"
"E-8","3","0.77"
"E6/SSG","3","0.77"
"O4","3","0.77"
"Sargent","3","0.77"
"Sgt","3","0.77"
"Colonel","2","0.51"
"CW02","2","0.51"
"E-2","2","0.51"
"E-6/SSG","2","0.51"
"e2","2","0.51"
"e3","2","0.51"
"e5","2","0.51"
"e6","2","0.51"
"E7/SFC ","2","0.51"
"Lance Corporal","2","0.51"
"Lcpl","2","0.51"
"Private","2","0.51"
"Sergeant","2","0.51"
"SGT","2","0.51"
"Spec5","2","0.51"
"Specialist","2","0.51"
"SSG/E6","2","0.51"
"TSgt","2","0.51"
"0-4","1","0.26"
"04/lcdr","1","0.26"
"2","1","0.26"
"5","1","0.26"
"5 Star General","1","0.26"
"a","1","0.26"
"A1C","1","0.26"
"AIR FORCE CADET","1","0.26"
"AW 2nd class","1","0.26"
"Captain","1","0.26"
"Cheif","1","0.26"
"Corporal","1","0.26"
"CPL.","1","0.26"
"Cw3","1","0.26"
"CW3","1","0.26"
"CW3 W3","1","0.26"
"E-0","1","0.26"
"E-1","1","0.26"
"E-2/PFC","1","0.26"
"e-3","1","0.26"
"E-4/SPC","1","0.26"
"E-5 ","1","0.26"
"E-5 BT2","1","0.26"
"E-5 P.","1","0.26"
"E-5 sergeant ","1","0.26"
"E-5/GS-11","1","0.26"
"E-5/SGT","1","0.26"
"E-6 staff Sargent ","1","0.26"
"E-7 SFC","1","0.26"
"E-9","1","0.26"
"E 4","1","0.26"
"E/3","1","0.26"
"E4 specialist/corporal","1","0.26"
"E4/Specialist","1","0.26"
"E4P","1","0.26"
"E5/SGT","1","0.26"
"E6/Staff Sargent","1","0.26"
"E8/1SG","1","0.26"
"First Sergeant/E8","1","0.26"
"GS12/6","1","0.26"
"Ha ha","1","0.26"
"LCDR","1","0.26"
"Lt. USN","1","0.26"
"Major","1","0.26"
"Major O-4","1","0.26"
"MSG","1","0.26"
"MSG/E8","1","0.26"
"N/a","1","0.26"
"N/A","1","0.26"
"na","1","0.26"
"Nco","1","0.26"
"none","1","0.26"
"O-5/Lt Col","1","0.26"
"O3","1","0.26"
"O3-E","1","0.26"
"O6","1","0.26"
"O6.  Col","1","0.26"
"Petty officer 1st class","1","0.26"
"prefer not to answer","1","0.26"
"prefer not to say","1","0.26"
"ROTC CADET E5","1","0.26"
"S7","1","0.26"
"sargeant","1","0.26"
"Sargent-field promotion","1","0.26"
"Seaman","1","0.26"
"Sergeant ","1","0.26"
"sgt","1","0.26"
"Sgt  E5","1","0.26"
"SGT E-5","1","0.26"
"SGT E5","1","0.26"
"SGT/E5","1","0.26"
"Sp/4","1","0.26"
"Spec 5","1","0.26"
"Specialist ","1","0.26"
"SSG army","1","0.26"
"Ssg/E6","1","0.26"
"Ssgt ","1","0.26"
"SSgt ","1","0.26"
"Ssgt E5","1","0.26"
"Staff Sergeant","1","0.26"
"test","1","0.26"
"Unkown","1","0.26"
