"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  391"
"response","count","percent_responded"
"Sleep/insomnia","275","70.33"
"Depression/mood","268","68.54"
"Pain","266","68.03"
"Anxiety/panic attacks","221","56.52"
"Attention/concentration","157","40.15"
"Appetite/weight","141","36.06"
"Headache","130","33.25"
"Inflammation","122","31.2"
"Aggression","120","30.69"
"Spasms","94","24.04"
"Nausea/vomiting","56","14.32"
"Skin conditions","45","11.51"
"Respiratory","33","8.44"
"Ocular pressure","24","6.14"
"Other (please specify)","20","5.12"
"Mania/psychosis","18","4.6"
"Drug withdrawal","7","1.79"
"Seizures","6","1.53"
