"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  148"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","74","50"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","52","35.14"
"Statins (e.g. Lipitor, Crestor)","39","26.35"
"Anti-inflammatories","38","25.68"
"Other (please specify)","32","21.62"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","30","20.27"
"Muscle relaxants","25","16.89"
"Antihypertensives","23","15.54"
"I don’t take any prescription medications","23","15.54"
"Beta Blockers","22","14.86"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","19","12.84"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","16","10.81"
"Steroids, including steroid creams","15","10.14"
"Insulin","13","8.78"
"Antimigraine","11","7.43"
"Antipsychotics (e.g. Abilify, Seroquel)","10","6.76"
"Sedatives/hypnotics","9","6.08"
"Proton pump inhibitors","8","5.41"
"Hormone replacement therapy (HRT)","6","4.05"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","6","4.05"
"Barbiturates (e.g. Floricet)","3","2.03"
