"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11250357688,"I don't know how much I use per week","","","",""
11249832802,"2-3 grams","1  gram","","",""
11248164514,"1/4 ounce (~7 grams)","1/2 gram","","","1/4 gram or less"
11241395977,"2-3 grams","","","",""
11238671751,"2-3 grams","","","","1/2 gram"
11166997346,"8 grams to 1/2 ounce (~14 grams)","","","",""
11148900374,"","","","",""
11142252658,"","","","",""
11140621270,"2-3 grams","","","",""
11137664485,"1/4 gram or less","","","",""
11137625236,"8 grams to 1/2 ounce (~14 grams)","","","",""
11137570486,"2-3 grams","","","",""
11136861481,"","","","",""
11136795358,"8 grams to 1/2 ounce (~14 grams)","","","",""
11135727852,"I don't know how much I use per week","","","",""
11135476295,"","More than 1 ounce","","","1/2 gram"
11135380294,"","","","",""
11135212674,"","","","",""
11135087208,"","2-3 grams","","",""
11135054557,"","","","",""
11135019994,"","2-3 grams","","",""
11134647286,"4-6 grams","","","",""
11134572563,"","","","",""
11134536706,"8 grams to 1/2 ounce (~14 grams)","","","","1/2 gram"
11134531419,"1/4 ounce (~7 grams)","","","",""
11134504342,"2-3 grams","","","",""
11134478610,"","","","",""
11134451924,"","","","",""
11105188699,"","2-3 grams","","","1  gram"
11100035804,"","","","",""
11065588769,"8 grams to 1/2 ounce (~14 grams)","","","",""
11061878386,"","","","",""
11023090140,"","","","",""
10994464098,"","","","",""
10908463163,"","","","",""
10902224469,"","","","",""
10893828061,"1/4 gram or less","","","",""
10893671348,"4-6 grams","","","","2-3 grams"
10893153651,"1/4 ounce (~7 grams)","","","","15 grams to 1 ounce (~28 grams)"
10892190679,"","","","",""
10888170961,"","4-6 grams","","",""
10886020524,"4-6 grams","","","",""
10885759801,"","","","",""
10885623844,"4-6 grams","","","","1  gram"
10883497633,"None","","","",""
10882385979,"1/4 ounce (~7 grams)","","","",""
10879268147,"1/4 ounce (~7 grams)","2-3 grams","","","1  gram"
10878422887,"","","","",""
10877606410,"","","","",""
10877565497,"","","","",""
10876485783,"4-6 grams","","","",""
10876392009,"","","","",""
10876336346,"","","","",""
10876100377,"","","","",""
10876001530,"","","","","1  gram"
10875993925,"","","","",""
10875944995,"","","","",""
10875700450,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
10875696093,"2-3 grams","","","",""
10875511603,"","","","",""
10875507777,"","","","",""
10875503972,"","","","",""
10875479466,"1/2 gram","","","",""
10870148985,"2-3 grams","1  gram","","",""
10867812743,"","","","",""
10867810520,"","","","",""
10864981709,"15 grams to 1 ounce (~28 grams)","","","","None"
10864900624,"4-6 grams","","","",""
10860704252,"","","","",""
10859949104,"","","","",""
10859616580,"","","","",""
10859079118,"4-6 grams","","","",""
10858082192,"","","","","I don't know how much I use per week"
10856437127,"I don't know how much I use per week","","","",""
10855896441,"","","","",""
10849354793,"4-6 grams","None","","","2-3 grams"
10849214021,"2-3 grams","","","",""
10849063157,"1/4 gram or less","","","",""
10848742483,"","","","",""
10847305299,"","","","",""
10847172551,"","","","",""
10847009623,"","","","",""
10846990356,"1/4 gram or less","None","","",""
10844578211,"","2-3 grams","","",""
10844298162,"","","","",""
10843917537,"","","","",""
10843856498,"I don't know how much I use per week","","","",""
10843816117,"","1  gram","","","1/4 gram or less"
10843803790,"8 grams to 1/2 ounce (~14 grams)","","","",""
10843797483,"15 grams to 1 ounce (~28 grams)","","","","1/2 gram"
10840899449,"4-6 grams","","","",""
10837706698,"","I don't know how much I use per week","","",""
10836382971,"8 grams to 1/2 ounce (~14 grams)","","","","1/4 ounce (~7 grams)"
10835384840,"","","","",""
10834379529,"1/4 ounce (~7 grams)","","","",""
10834149798,"","","","","1  gram"
10833790283,"1/4 ounce (~7 grams)","","","","1  gram"
10833722328,"","","","",""
10832963325,"","","","","8 grams to 1/2 ounce (~14 grams)"
10832732691,"","","","",""
10832206360,"","","","",""
10832200410,"8 grams to 1/2 ounce (~14 grams)","","","","1/4 gram or less"
10832191551,"4-6 grams","","","","1/2 gram"
10832133946,"15 grams to 1 ounce (~28 grams)","1/2 gram","","",""
10832123166,"2-3 grams","","","",""
