"q74","What was the highest pay grade/rank achieved at the time of formal discharge?","n =  148"
"response","count","percent_responded"
"E4","17","11.49"
"E5","14","9.46"
"E-5","12","8.11"
"E6","12","8.11"
"E3","7","4.73"
"E-4","6","4.05"
"e4","5","3.38"
"E-3","4","2.7"
"E7","4","2.7"
"E-6","2","1.35"
"PFC","2","1.35"
"Sgt","2","1.35"
"Spec5","2","1.35"
"SSG/E6","2","1.35"
"TSgt","2","1.35"
"4","1","0.68"
"5","1","0.68"
"AIR FORCE CADET","1","0.68"
"AW 2nd class","1","0.68"
"Captain","1","0.68"
"CPL.","1","0.68"
"Cw3","1","0.68"
"CW3 W3","1","0.68"
"e-4","1","0.68"
"E-4/SPC","1","0.68"
"e-5","1","0.68"
"E-5/GS-11","1","0.68"
"E-6/SSG","1","0.68"
"E-7","1","0.68"
"E-7 SFC","1","0.68"
"E-9","1","0.68"
"e2","1","0.68"
"e3","1","0.68"
"E4P","1","0.68"
"e5","1","0.68"
"E6/SSG","1","0.68"
"E7/SFC ","1","0.68"
"E8","1","0.68"
"GS12/6","1","0.68"
"Ha ha","1","0.68"
"Lance Corporal","1","0.68"
"Lt. USN","1","0.68"
"Major","1","0.68"
"Major O-4","1","0.68"
"MSG","1","0.68"
"MSG/E8","1","0.68"
"Nco","1","0.68"
"O-3","1","0.68"
"O-4","1","0.68"
"O3-E","1","0.68"
"O4","1","0.68"
"O6.  Col","1","0.68"
"Petty officer 1st class","1","0.68"
"Sargent-field promotion","1","0.68"
"Seaman","1","0.68"
"Sergeant","1","0.68"
"Sergeant ","1","0.68"
"SGT E-5","1","0.68"
"sgt E5","1","0.68"
"Sgt e5","1","0.68"
"Sgt.","1","0.68"
"Sp/4","1","0.68"
"Sp4","1","0.68"
"Spec-5","1","0.68"
"Spec 5","1","0.68"
"Specialist","1","0.68"
"SSG","1","0.68"
"Ssg/E6","1","0.68"
"Ssgt ","1","0.68"
"Ssgt E5","1","0.68"
