"q76","Where were you deployed/stationed? (Please select all that apply)","n =  148"
"response","count","percent_responded"
"United States","102","68.92"
"Other (please specify)","78","52.7"
"Iraq","24","16.22"
"Kuwait","19","12.84"
"South Korea","17","11.49"
"Afghanistan","16","10.81"
"Philippines","14","9.46"
"Saudi Arabia","13","8.78"
"Oman Bahrain","7","4.73"
"The United Arab Emirates","6","4.05"
"Somalia","5","3.38"
"Qatar","4","2.7"
"Kyrgyzstan","3","2.03"
"Syria","3","2.03"
"Djibouti","2","1.35"
"Jordan","2","1.35"
"Yemen","2","1.35"
"Albania","1","0.68"
"Kosovo","1","0.68"
"Lebanon","1","0.68"
"Sinai Peninsula","1","0.68"
"Tajikistan","1","0.68"
"The Adriatic Sea","1","0.68"
"The Federal Republic of Yugoslavia (Serbia/Montenegro)","1","0.68"
