"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  185"
"response","count","percent_responded"
"Dry mouth","128","69.19"
"Changes in appetite","71","38.38"
"More or less talkative","69","37.3"
"Increased energy","67","36.22"
"Sleepiness/fatigue","46","24.86"
"Changes in libido","29","15.68"
"Feeling of being ""altered""","21","11.35"
"Memory problems","20","10.81"
"Difficulty concentrating","18","9.73"
"Other (please specify)","16","8.65"
"Paranoia","15","8.11"
"Tough to get started in the morning (lassitude) or ""couch lock""","13","7.03"
"Heart racing/palpitations","10","5.41"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","10","5.41"
"Anxiety","9","4.86"
"Racing thoughts","8","4.32"
"Apathy","7","3.78"
"Nausea","7","3.78"
"Headache","5","2.7"
"Sweating","5","2.7"
"GI changes (constipation, diarrhea, abdominal discomfort)","4","2.16"
"Dizziness","3","1.62"
"Depression","2","1.08"
