"q53","On average, how much do you spend (in US dollars) on consumable cannabis products per week?","n =  185  avg =  76.968"
"response","count","percent_responded"
"50","31","16.76"
"0","18","9.73"
"100","16","8.65"
"25","13","7.03"
"60","12","6.49"
"150","10","5.41"
"200","10","5.41"
"35","9","4.86"
"40","9","4.86"
"75","8","4.32"
"20","7","3.78"
"30","6","3.24"
"10","5","2.7"
"300","5","2.7"
"80","5","2.7"
"15","3","1.62"
"250","3","1.62"
"120","2","1.08"
"125","2","1.08"
"6","2","1.08"
"65","2","1.08"
"12","1","0.54"
"135","1","0.54"
"175","1","0.54"
"280","1","0.54"
"425","1","0.54"
"45","1","0.54"
"500","1","0.54"
