"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  185  avg =  65.697"
"response","count","percent_responded"
"100","90","48.65"
"0","29","15.68"
"75","8","4.32"
"90","6","3.24"
"1","4","2.16"
"2","4","2.16"
"50","4","2.16"
"10","3","1.62"
"30","3","1.62"
"14","2","1.08"
"15","2","1.08"
"80","2","1.08"
"82","2","1.08"
"97","2","1.08"
"99","2","1.08"
"12","1","0.54"
"13","1","0.54"
"17","1","0.54"
"19","1","0.54"
"26","1","0.54"
"27","1","0.54"
"3","1","0.54"
"37","1","0.54"
"4","1","0.54"
"43","1","0.54"
"5","1","0.54"
"51","1","0.54"
"52","1","0.54"
"61","1","0.54"
"65","1","0.54"
"7","1","0.54"
"81","1","0.54"
"87","1","0.54"
"9","1","0.54"
"95","1","0.54"
"96","1","0.54"
"98","1","0.54"
