"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  85  avg =  103.918"
"response","count","percent_responded"
"0","31","36.47"
"30","9","10.59"
"10","7","8.24"
"20","5","5.88"
"100","4","4.71"
"25","3","3.53"
"40","3","3.53"
"150","2","2.35"
"200","2","2.35"
"400","2","2.35"
"55","2","2.35"
"700","2","2.35"
"1000","1","1.18"
"140","1","1.18"
"15","1","1.18"
"1500","1","1.18"
"195","1","1.18"
"24","1","1.18"
"3","1","1.18"
"350","1","1.18"
"45","1","1.18"
"500","1","1.18"
"56","1","1.18"
"60","1","1.18"
"900","1","1.18"
