"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  85"
"response","count","percent_responded"
"Chronic pain","59","69.41"
"Anxiety","51","60"
"Posttraumatic stress disorder (PTSD)","43","50.59"
"Arthritis","42","49.41"
"Depression","42","49.41"
"Insomnia","35","41.18"
"Attention deficit/hyperactivity disorder (ADHD)","16","18.82"
"Gastrointestinal/digestive system disorders","15","17.65"
"Fibromyalgia/myositis","12","14.12"
"Hypertension","12","14.12"
"Diabetes","9","10.59"
"Cardiovascular disease","5","5.88"
"Other (please specify)","5","5.88"
"Respiratory problems","5","5.88"
"Bipolar/manic depression","4","4.71"
"Cancer","4","4.71"
"Reflux esophagitis","4","4.71"
"Allergies","3","3.53"
"Obesity","3","3.53"
"Substance abuse/addiction","3","3.53"
"Eczema","2","2.35"
"Inflammatory bowel disease (IBD)","2","2.35"
"HIV/AIDS","1","1.18"
"Multiple sclerosis","1","1.18"
