"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  85"
"response","count","percent_responded"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","83","97.65"
"Tinctures","38","44.71"
"Smoke flower","31","36.47"
"Vape cartridges","28","32.94"
"Salves/topicals","26","30.59"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","22","25.88"
"Capsules","17","20"
"Vape flower","12","14.12"
"Transdermal patches","7","8.24"
"Other (please specify)","3","3.53"
"Suppositories","3","3.53"
