"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  85"
"response","count","percent_responded"
"Money to purchase products","40","47.06"
"Access to the right products","39","45.88"
"Money required to get medical card","24","28.24"
"Stigma","23","27.06"
"Owning a firearm","20","23.53"
"Lack of knowledge","15","17.65"
"Place to consume cannabis","12","14.12"
"Workplace testing or other policies","12","14.12"
"Other (please specify)","11","12.94"
