"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  265"
"response","count","percent_responded"
"Smoke flower","261","98.49"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","143","53.96"
"Vape cartridges","114","43.02"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","110","41.51"
"Tinctures","72","27.17"
"Vape flower","72","27.17"
"Salves/topicals","56","21.13"
"Capsules","25","9.43"
"Transdermal patches","16","6.04"
"Other (please specify)","9","3.4"
"Suppositories","7","2.64"
