"q53","On average, how much do you spend (in US dollars) on consumable cannabis products per week?","n =  265  avg =  92.302"
"response","count","percent_responded"
"100","35","13.21"
"50","34","12.83"
"0","20","7.55"
"200","18","6.79"
"75","14","5.28"
"150","13","4.91"
"25","13","4.91"
"10","12","4.53"
"20","12","4.53"
"40","12","4.53"
"60","12","4.53"
"30","9","3.4"
"80","8","3.02"
"300","6","2.26"
"120","5","1.89"
"250","5","1.89"
"125","4","1.51"
"5","4","1.51"
"45","3","1.13"
"1","2","0.75"
"160","2","0.75"
"400","2","0.75"
"500","2","0.75"
"70","2","0.75"
"135","1","0.38"
"140","1","0.38"
"15","1","0.38"
"175","1","0.38"
"225","1","0.38"
"24","1","0.38"
"280","1","0.38"
"35","1","0.38"
"350","1","0.38"
"360","1","0.38"
"42","1","0.38"
"55","1","0.38"
"56","1","0.38"
"6","1","0.38"
"600","1","0.38"
"800","1","0.38"
