"q57","What product(s) and/or strain(s) do you want that are not currently available in your local dispensaries?","n =  265"
"response","count","percent_responded"
"N/A","17","6.42"
"None","14","5.28"
"All","9","3.4"
"n/a","9","3.4"
"Na","7","2.64"
"none","7","2.64"
"?","5","1.89"
"N/a","5","1.89"
NA,"5","1.89"
"Not sure","4","1.51"
"0","2","0.75"
"All of them","2","0.75"
"All of them ","2","0.75"
"Don’t know ","2","0.75"
"I don't know","2","0.75"
"Idk","2","0.75"
"Lemon Skunk","2","0.75"
"Na ","2","0.75"
"None ","2","0.75"
"Northern lights","2","0.75"
"not sure","2","0.75"
"Sativa","2","0.75"
"Unknown","2","0.75"
"  x","1","0.38"
" not sure","1","0.38"
"1 gram vape cartridges ","1","0.38"
"1:1 strains clones and seeds for vets","1","0.38"
"AC DC","1","0.38"
"AC/dc","1","0.38"
"Ac/dc, cannatonic","1","0.38"
"affordable products","1","0.38"
"African Black ","1","0.38"
"all","1","0.38"
"ALL","1","0.38"
"all low anlexty strains","1","0.38"
"All of them... I no longer can afford to buy any :/","1","0.38"
"All Strains (flower not legal in NY)","1","0.38"
"All.  The state of Florida is a for profit  state instead of patient care ","1","0.38"
"Anxiety, depression, headache and pain relief ","1","0.38"
"Any","1","0.38"
"ANY","1","0.38"
"Any ","1","0.38"
"Anything from California","1","0.38"
"Avidekal","1","0.38"
"Banana kush","1","0.38"
"banana kush flower","1","0.38"
"Better flower","1","0.38"
"better prices like Maine","1","0.38"
"Blue Cookies ","1","0.38"
"Blue dream","1","0.38"
"blue sunshine","1","0.38"
"Blueberry stavia","1","0.38"
"Bubble hash","1","0.38"
"Can't use them to costly","1","0.38"
"Canadian beasters ","1","0.38"
"Candy Kush","1","0.38"
"Cannabutter","1","0.38"
"Cannagars","1","0.38"
"cbd","1","0.38"
"CBD strains","1","0.38"
"CBD/THC 1:1","1","0.38"
"Combat cookies","1","0.38"
"Concentrates - CBD","1","0.38"
"Critical Kush","1","0.38"
"CT dispensaries and overall program needs reform.","1","0.38"
"Definitely fruitier flavors","1","0.38"
"Devil’s Cookies","1","0.38"
"diamonds","1","0.38"
"Difficult to find same strain twice","1","0.38"
"don't know","1","0.38"
"Don't know","1","0.38"
"Don’t know","1","0.38"
"dont have dispenseries","1","0.38"
"Drinks","1","0.38"
"Dude, where's my bike?","1","0.38"
"durban poison","1","0.38"
"Durban Poison flower","1","0.38"
"Durbon Poison; lemon marange,!Lemon haze","1","0.38"
"Edibles","1","0.38"
"Edibles ","1","0.38"
"FECO/ RSO","1","0.38"
"Flower","1","0.38"
"Flower and edibles","1","0.38"
"Flower of any kind.","1","0.38"
"Food edibles","1","0.38"
"FrankenPuna ","1","0.38"
"Garlic bud","1","0.38"
"Gelato, Katsu Kush.  More pure indica strains, less hybrids.","1","0.38"
"gg","1","0.38"
"Girl Scout cookie","1","0.38"
"Girl Scout Cookie, Blue Dream, Jack Kush","1","0.38"
"got no local dispensery","1","0.38"
"Grape God","1","0.38"
"Greater mixes of CBG:THC ratios","1","0.38"
"Green Crack","1","0.38"
"Grow my own and edibles","1","0.38"
"Guava IX","1","0.38"
"Hash","1","0.38"
"Hash oils","1","0.38"
