"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  265"
"response","count","percent_responded"
"Chronic pain","197","74.34"
"Anxiety","192","72.45"
"Depression","186","70.19"
"Posttraumatic stress disorder (PTSD)","150","56.6"
"Insomnia","111","41.89"
"Arthritis","95","35.85"
"Allergies","63","23.77"
"Gastrointestinal/digestive system disorders","61","23.02"
"Hypertension","60","22.64"
"Other (please specify)","43","16.23"
"Reflux esophagitis","41","15.47"
"Respiratory problems","35","13.21"
"Obesity","34","12.83"
"Substance abuse/addiction","31","11.7"
"Attention deficit/hyperactivity disorder (ADHD)","26","9.81"
"Inflammatory bowel disease (IBD)","26","9.81"
"Bipolar/manic depression","25","9.43"
"Diabetes","24","9.06"
"Cancer","21","7.92"
"Cardiovascular disease","15","5.66"
"Eczema","15","5.66"
"Fibromyalgia/myositis","14","5.28"
"HIV/AIDS","6","2.26"
"Multiple sclerosis","2","0.75"
"Alzheimer's","1","0.38"
"Epilepsy","1","0.38"
