"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  265"
"response","count","percent_responded"
"Chronic pain","90","33.96"
"Posttraumatic stress disorder (PTSD)","74","27.92"
"Anxiety","32","12.08"
"Depression","19","7.17"
"Insomnia","11","4.15"
"Arthritis","7","2.64"
"Bipolar/manic depression","7","2.64"
"Cancer","4","1.51"
"Cardiovascular disease","4","1.51"
"Gastrointestinal/digestive system disorders","4","1.51"
"Diabetes","2","0.75"
"Fibromyalgia/myositis","2","0.75"
"Inflammatory bowel disease (IBD)","2","0.75"
"Multiple sclerosis","2","0.75"
"Attention deficit/hyperactivity disorder (ADHD)","1","0.38"
"HIV/AIDS","1","0.38"
"Hypertension","1","0.38"
"Obesity","1","0.38"
"Respiratory problems","1","0.38"
