"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  87  avg =  21.069"
"response","count","percent_responded"
"0","29","33.33"
"50","5","5.75"
"19","4","4.6"
"1","3","3.45"
"100","3","3.45"
"14","3","3.45"
"2","3","3.45"
"4","3","3.45"
"49","3","3.45"
"11","2","2.3"
"20","2","2.3"
"21","2","2.3"
"22","2","2.3"
"23","2","2.3"
"42","2","2.3"
"9","2","2.3"
"12","1","1.15"
"13","1","1.15"
"18","1","1.15"
"26","1","1.15"
"27","1","1.15"
"29","1","1.15"
"30","1","1.15"
"36","1","1.15"
"48","1","1.15"
"5","1","1.15"
"51","1","1.15"
"52","1","1.15"
"53","1","1.15"
"60","1","1.15"
"65","1","1.15"
"77","1","1.15"
"99","1","1.15"
