"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  87"
"response","count","percent_responded"
"Sleep/insomnia","63","72.41"
"Depression/mood","59","67.82"
"Anxiety/panic attacks","51","58.62"
"Pain","50","57.47"
"Appetite/weight","32","36.78"
"Attention/concentration","31","35.63"
"Aggression","30","34.48"
"Headache","24","27.59"
"Inflammation","23","26.44"
"Spasms","18","20.69"
"Nausea/vomiting","9","10.34"
"Ocular pressure","7","8.05"
"Other (please specify)","7","8.05"
"Mania/psychosis","5","5.75"
"Skin conditions","5","5.75"
"Respiratory","4","4.6"
"Seizures","4","4.6"
"Drug withdrawal","2","2.3"
