"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  87"
"response","count","percent_responded"
"Some college, no degree","22","25.29"
"Bachelor's degree","21","24.14"
"Associate's degree","18","20.69"
"Master's degree","9","10.34"
"Vocational degree","7","8.05"
"High school degree or equivalent (GED)","5","5.75"
"Professional degree (MD, JD, DDS, DVM)","3","3.45"
"Doctorate (Ph.D, Ed.D, etc)","2","2.3"
