"q13","Where are the locations of your pain (please check all that apply)","n =  65"
"response","count","percent_responded"
"Lower back","52","80"
"Neck","45","69.23"
"Knee","44","67.69"
"General joint pain","41","63.08"
"Shoulder","38","58.46"
"Hips","37","56.92"
"Leg","35","53.85"
"Upper back","35","53.85"
"Hand","30","46.15"
"Head/headache","30","46.15"
"Arm","28","43.08"
"Foot","28","43.08"
"Wrist","28","43.08"
"Generalized muscle pain","27","41.54"
"Full body","19","29.23"
"Abdomen","15","23.08"
"Buttocks","14","21.54"
"Mouth/dental pain","13","20"
"Chest","10","15.38"
"Stomach","10","15.38"
"Other (please specify)","8","12.31"
"Face","4","6.15"
"Genitalia","4","6.15"
"Rectum","3","4.62"
