"q14","What are the effects of your pain? (Please select all that apply)","n =  65"
"response","count","percent_responded"
"Physical activity","63","96.92"
"Energy level","57","87.69"
"Enjoyment of life","57","87.69"
"Sleep","52","80"
"Mobility","51","78.46"
"Household chores","50","76.92"
"Mood","49","75.38"
"Depression","47","72.31"
"Relationships with others","44","67.69"
"Sexual functioning","44","67.69"
"Concentration","39","60"
"Self esteem","37","56.92"
"Anxiety","35","53.85"
"Memory","32","49.23"
"Personal care","26","40"
"Appetite","20","30.77"
