"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  133  avg =  135.105"
"response","count","percent_responded"
"0","66","49.62"
"150","7","5.26"
"100","5","3.76"
"30","5","3.76"
"400","5","3.76"
"20","4","3.01"
"10","3","2.26"
"200","3","2.26"
"40","3","2.26"
"1000","2","1.5"
"1500","2","1.5"
"25","2","1.5"
"300","2","1.5"
"350","2","1.5"
"500","2","1.5"
"55","2","1.5"
"7","2","1.5"
"800","2","1.5"
"1","1","0.75"
"125","1","0.75"
"160","1","0.75"
"180","1","0.75"
"2000","1","0.75"
"250","1","0.75"
"45","1","0.75"
"50","1","0.75"
"600","1","0.75"
"700","1","0.75"
"75","1","0.75"
"80","1","0.75"
"9","1","0.75"
"90","1","0.75"
