"q98","What state in the US do you currently live in?","n =  130"
"response","count","percent_responded"
"Massachusetts","48","36.92"
"California","10","7.69"
"Maine","8","6.15"
"Texas","5","3.85"
"Florida","4","3.08"
"Arkansas","3","2.31"
"Hawaii","3","2.31"
"Oklahoma","3","2.31"
"Pennsylvania","3","2.31"
"South Carolina","3","2.31"
"Tennessee","3","2.31"
"Arizona","2","1.54"
"Colorado","2","1.54"
"Georgia","2","1.54"
"Indiana","2","1.54"
"Michigan","2","1.54"
"Nevada","2","1.54"
"New Jersey","2","1.54"
"New Mexico","2","1.54"
"Ohio","2","1.54"
"Other (please specify)","2","1.54"
"Virginia","2","1.54"
"Washington","2","1.54"
"Connecticut","1","0.77"
"Illinois","1","0.77"
"Minnesota","1","0.77"
"Mississippi","1","0.77"
"Missouri","1","0.77"
"Montana","1","0.77"
"New Hampshire","1","0.77"
"New York","1","0.77"
"North Carolina","1","0.77"
"Oregon","1","0.77"
"Utah","1","0.77"
"Vermont","1","0.77"
"Wisconsin","1","0.77"
