Q#29,"What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?",
,,
Response,Count,
100,63,31.34%
99,6,2.99%
97,1,0.50%
93,2,1.00%
90,8,3.98%
80,11,5.47%
74,1,0.50%
70,8,3.98%
67,1,0.50%
60,7,3.48%
50,6,2.99%
49,2,1.00%
40,4,1.99%
30,6,2.99%
20,6,2.99%
18,1,0.50%
10,5,2.49%
6,1,0.50%
5,1,0.50%
2,1,0.50%
1,4,1.99%
0,56,27.86%
,201,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
10575849400,,0
11006369538,,0
10875462742,,0
10661330404,,0
11156698544,,0
10830786742,,0
11250741921,,0
10658550964,,0
10876100377,,0
10875993925,,0
10668312322,,0
11138361963,,0
11186271761,,0
11137652132,,0
10659841121,,0
10659241585,,0
10660294275,,0
10875696093,,0
10665891738,,0
10667398958,,0
10991821033,,0
10716518478,,0
10658774056,,0
10581933788,,0
11091792560,,0
11129003813,,0
10877194985,,0
10596131278,,0
10837914247,,0
10893948558,,0
10856437127,,0
10604065323,,0
10833972658,,0
10875507777,,0
10875530570,,0
10965547652,,0
11208627585,,0
11138400653,,0
10602936383,,0
10860535252,,0
11249871277,,0
11132638848,,0
10874749577,,0
11212805644,,0
11166474867,,0
10956719648,,0
10867810520,,0
10879062209,,0
11037955315,,0
11033502369,,0
10889700541,,0
10876392009,,0
10875700450,,0
10875460020,,0
10658577550,,0
11042816472,,0
