“Which VA do you go to?”,,,,,,,
,,,,,,,
id,response,,,,,"Providence, RI",20
10877788133,Boston & Worcester,,,,,None,18
10681003613,Boston (JP/West Roxbury),,,,,Worcester,15
11037955315,I'm currently in using a VA,,,,,Bedford,15
10893948558,Jamaica Plain and West Roxbury,,,,,Leed's Northampton MA,13
10883497633,"Leeds, Springfield OPC",,,,,Boston - JP,12
11170278059,New Bedford and Providence ,,,,,West Roxbury,11
10667582585,None now previously Springfield outpatient,,,,,Boston ,9
10859949104,Northampton/Leeds   ,,,,,"VA Outpatient Clinic, 25 Bond St, Springfield, MA 01104",9
10875462742,"Northampton/Leeds, MA",,,,,Brockton,8
10882385979,"VA Leeds/ Vet Center West Springfield, MA",,,,,N/A,8
10626251939,"Western MA, Leeds and Springfield",,,,,Northampton,8
,,,,,,Don't,6
,,,,,,Fitchburg,4
,,,,,,Lynn,3
,,,,,,VA Central Western Massachusetts Healthcare System,3
,,,,,,North Quincy,1
,,,,,,Plymouth,1
,,,,,,Florence,1
,,,,,,"Houston, TX",1
,,,,,,Hyannis,1
,,,,,,MA,2
,,,,,,"Newington, CT",1
,,,,,,Other,11
