Q#45,What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply),,
,,,
chosen,count,percent_all,percent_responded
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)",168,12.98%,29.73%
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)",147,11.36%,26.02%
I have reduced my prescription medication use in the past,133,10.28%,23.54%
I don't take any medications,103,7.96%,18.23%
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)",98,7.57%,17.35%
Anti-inflammatories,94,7.26%,16.64%
Muscle relaxants,88,6.80%,15.58%
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)",79,6.11%,13.98%
I'm not trying to reduce any medication use,74,5.72%,13.10%
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)",63,4.87%,11.15%
Other (please specify),39,3.01%,6.90%
"Statins (e.g. Lipitor, Crestor)",29,2.24%,5.13%
Sedatives/hypnotics,25,1.93%,4.42%
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)",24,1.85%,4.25%
"Steroids, including steroid creams",22,1.70%,3.89%
Beta Blockers,21,1.62%,3.72%
Antimigraine,19,1.47%,3.36%
Antihypertensives,18,1.39%,3.19%
"Antipsychotics (e.g. Abilify, Seroquel)",15,1.16%,2.65%
Proton pump inhibitors,10,0.77%,1.77%
Barbiturates (e.g. Floricet),9,0.70%,1.59%
Insulin,8,0.62%,1.42%
Antiemetics,5,0.39%,0.88%
Hormone replacement therapy (HRT),3,0.23%,0.53%
