Q#98,What state in the US do you currently live in?,,
,,,
response,count,percent_all,percent_responded
Massachusetts,201,37.85%,35.58%
Florida,34,6.40%,6.02%
California,33,6.21%,5.84%
Maine,20,3.77%,3.54%
Georgia,14,2.64%,2.48%
Ohio,13,2.45%,2.30%
Texas,13,2.45%,2.30%
Arizona,12,2.26%,2.12%
New York,12,2.26%,2.12%
Washington,12,2.26%,2.12%
Colorado,10,1.88%,1.77%
Oklahoma,10,1.88%,1.77%
Pennsylvania,10,1.88%,1.77%
Tennessee,10,1.88%,1.77%
Virginia,9,1.69%,1.59%
Illinois,8,1.51%,1.42%
New Hampshire,7,1.32%,1.24%
New Mexico,7,1.32%,1.24%
Maryland,6,1.13%,1.06%
North Carolina,6,1.13%,1.06%
Oregon,6,1.13%,1.06%
Alaska,5,0.94%,0.88%
Indiana,5,0.94%,0.88%
Louisiana,5,0.94%,0.88%
Michigan,5,0.94%,0.88%
South Carolina,5,0.94%,0.88%
Arkansas,4,0.75%,0.71%
Connecticut,4,0.75%,0.71%
Hawaii,4,0.75%,0.71%
Nevada,4,0.75%,0.71%
Other (please specify),4,0.75%,0.71%
Alabama,3,0.56%,0.53%
Montana,3,0.56%,0.53%
Utah,3,0.56%,0.53%
West Virginia,3,0.56%,0.53%
Iowa,2,0.38%,0.35%
Kansas,2,0.38%,0.35%
Kentucky,2,0.38%,0.35%
Minnesota,2,0.38%,0.35%
New Jersey,2,0.38%,0.35%
Vermont,2,0.38%,0.35%
Delaware,1,0.19%,0.18%
Idaho,1,0.19%,0.18%
Mississippi,1,0.19%,0.18%
Missouri,1,0.19%,0.18%
Nebraska,1,0.19%,0.18%
North Dakota,1,0.19%,0.18%
Puerto Rico,1,0.19%,0.18%
Rhode Island,1,0.19%,0.18%
Wisconsin,1,0.19%,0.18%
