"id","response"
11240366384,"On storefronts"
11095751213,"On storefronts"
10647197076,"On storefronts"
10615382686,"On storefronts"
10614765881,"On storefronts"
10607912288,"On storefronts"
10571082808,"On storefronts"
10557455189,"On storefronts"
10552807575,"On storefronts"
10544524568,"On storefronts"
10490532265,"On storefronts"
10482114257,"On storefronts"
10332101269,"On storefronts"
10285851934,"On storefronts"
10248892019,"On storefronts"
10247895568,"On storefronts"
10244871164,"On storefronts"
10232360437,"On storefronts"
10232035837,"On storefronts"
10231913670,"On storefronts"
10231842260,"On storefronts"
10231071470,"On storefronts"
10230933279,"On storefronts"
10230804869,"On storefronts"
10230431590,"On storefronts"
10230022114,"On storefronts"
10229702272,"On storefronts"
10229680195,"On storefronts"
10229649057,"On storefronts"
10229623103,"On storefronts"
10229608780,"On storefronts"
10229502087,"On storefronts"
10229490194,"On storefronts"
10229472013,"On storefronts"
10229467510,"On storefronts"
10229453603,"On storefronts"
10229404289,"On storefronts"
10229347523,"On storefronts"
10229328989,"On storefronts"
10229317169,"On storefronts"
10229291368,"On storefronts"
10223801994,"On storefronts"
10206473134,"On storefronts"
10196553108,"On storefronts"
10194492829,"On storefronts"
10192727692,"On storefronts"
10192638212,"On storefronts"
10192556821,"On storefronts"
10192533361,"On storefronts"
10191634878,"On storefronts"
10180645404,"On storefronts"
10174274823,"On storefronts"
10167813084,"On storefronts"
10167130854,"On storefronts"
10160586191,"On storefronts"
10157861557,"On storefronts"
10149690562,"On storefronts"
10149116440,"On storefronts"
10146324196,"On storefronts"
10143077190,"On storefronts"
10142453509,"On storefronts"
10138747058,"On storefronts"
10138000107,"On storefronts"
10133552929,"On storefronts"
10131630769,"On storefronts"
10131446639,"On storefronts"
10131242010,"On storefronts"
10130458387,"On storefronts"
10127393239,"On storefronts"
10127179828,"On storefronts"
10124217943,"On storefronts"
10120105927,"On storefronts"
10120091371,"On storefronts"
10113911131,"On storefronts"
10113037295,"On storefronts"
10103104157,"On storefronts"
10615382686,"On street side marketing, like sandwich boards"
10607912288,"On street side marketing, like sandwich boards"
10584635591,"On street side marketing, like sandwich boards"
10463520639,"On street side marketing, like sandwich boards"
10312356549,"On street side marketing, like sandwich boards"
10248892019,"On street side marketing, like sandwich boards"
10236223392,"On street side marketing, like sandwich boards"
10235626582,"On street side marketing, like sandwich boards"
10233407885,"On street side marketing, like sandwich boards"
10233370591,"On street side marketing, like sandwich boards"
10231842260,"On street side marketing, like sandwich boards"
10231071470,"On street side marketing, like sandwich boards"
10229649057,"On street side marketing, like sandwich boards"
10229608780,"On street side marketing, like sandwich boards"
10229601010,"On street side marketing, like sandwich boards"
10229347523,"On street side marketing, like sandwich boards"
10206473134,"On street side marketing, like sandwich boards"
10194492829,"On street side marketing, like sandwich boards"
10192638212,"On street side marketing, like sandwich boards"
10192552732,"On street side marketing, like sandwich boards"
10176582087,"On street side marketing, like sandwich boards"
10174294235,"On street side marketing, like sandwich boards"
10174274823,"On street side marketing, like sandwich boards"
10157861557,"On street side marketing, like sandwich boards"
10149690562,"On street side marketing, like sandwich boards"
10147209030,"On street side marketing, like sandwich boards"
10146324196,"On street side marketing, like sandwich boards"
