"id","response"
12132078521,"Yes as a worker or employee"
12131715735,"Yes as a worker or employee"
12117532265,"Yes as a worker or employee"
12111144931,"Yes as a worker or employee"
12109743230,"Yes as a worker or employee"
12087158527,"Yes as a worker or employee"
12086908709,"Yes as a worker or employee"
12075954823,"Yes as a worker or employee"
12073388152,"Yes as a worker or employee"
12073285229,"Yes as a worker or employee"
12065184453,"Yes as a worker or employee"
12058718694,"Yes as a worker or employee"
12056368456,"Yes as a worker or employee"
12055337872,"Yes as a worker or employee"
12038386404,"Yes as a worker or employee"
12118222686,"Yes as a worker or employee"
12083243278,"Yes as a worker or employee"
12057108953,"Yes as a worker or employee"
12047697347,"Yes as a worker or employee"
12132078521,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12131422655,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12125246334,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12117532265,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12115401787,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12111307653,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12111144931,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12111139629,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12109743230,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12086908709,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12081283749,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12075954823,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12074381494,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12057218830,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12056368456,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12055337872,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12132902987,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12132310291,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12132191256,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12118222686,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12106006558,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12083243278,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12069356953,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12047697347,"Yes as an owner of a cannabis cultivation, manufacturing, or retail operation"
12131715735,"Yes as a data analyst or a researcher"
12111144931,"Yes as a data analyst or a researcher"
12065184453,"Yes as a data analyst or a researcher"
12132902987,"Yes as a data analyst or a researcher"
12132479226,"Yes as a data analyst or a researcher"
12131537581,"Yes as a data analyst or a researcher"
12131259708,"Yes as a data analyst or a researcher"
12131066195,"Yes as a data analyst or a researcher"
12107922294,"Yes as a data analyst or a researcher"
12057108953,"Yes as a data analyst or a researcher"
12047697347,"Yes as a data analyst or a researcher"
12111144931,"Yes as an educator"
12088481530,"Yes as an educator"
12081283749,"Yes as an educator"
12080580305,"Yes as an educator"
12073388152,"Yes as an educator"
12056368456,"Yes as an educator"
12038576076,"Yes as an educator"
12075544061,"Yes as an educator"
12132310291,"Yes as an educator"
12132191256,"Yes as an educator"
12056555622,"Yes as an educator"
12111144931,"Yes as a lobbyist"
12081283749,"Yes as a lobbyist"
12056368456,"Yes as a lobbyist"
