"id","response"
11249911719,"Mobile app or website"
11248704898,"Mobile app or website"
11248164514,"Mobile app or website"
11238077963,"Mobile app or website"
11231679765,"Mobile app or website"
11222559871,"Mobile app or website"
11215609540,"Mobile app or website"
11212618775,"Mobile app or website"
11188216657,"Mobile app or website"
11181279818,"Mobile app or website"
11170108737,"Mobile app or website"
11166997346,"Mobile app or website"
11166535497,"Mobile app or website"
11156698544,"Mobile app or website"
11140621270,"Mobile app or website"
11138400653,"Mobile app or website"
11137973158,"Mobile app or website"
11137664485,"Mobile app or website"
11137625236,"Mobile app or website"
11137570486,"Mobile app or website"
11137541759,"Mobile app or website"
11136798812,"Mobile app or website"
11135778856,"Mobile app or website"
11135727852,"Mobile app or website"
11135466512,"Mobile app or website"
11135122023,"Mobile app or website"
11135022253,"Mobile app or website"
11134691787,"Mobile app or website"
11134647286,"Mobile app or website"
11111974827,"Mobile app or website"
11076823569,"Mobile app or website"
11065588769,"Mobile app or website"
11062688483,"Mobile app or website"
11057923056,"Mobile app or website"
11045739846,"Mobile app or website"
11044478649,"Mobile app or website"
11036310394,"Mobile app or website"
10985275093,"Mobile app or website"
10975405385,"Mobile app or website"
10932820377,"Mobile app or website"
10893828061,"Mobile app or website"
10893153651,"Mobile app or website"
10889700541,"Mobile app or website"
10885623844,"Mobile app or website"
10882385979,"Mobile app or website"
10876510380,"Mobile app or website"
10875526461,"Mobile app or website"
10874749577,"Mobile app or website"
10872582813,"Mobile app or website"
10865633390,"Mobile app or website"
10864981709,"Mobile app or website"
10861388917,"Mobile app or website"
10860154215,"Mobile app or website"
10859079118,"Mobile app or website"
10857243738,"Mobile app or website"
10856302482,"Mobile app or website"
10851333216,"Mobile app or website"
10849691686,"Mobile app or website"
10849214021,"Mobile app or website"
10847964940,"Mobile app or website"
10847826329,"Mobile app or website"
10847737322,"Mobile app or website"
10847317503,"Mobile app or website"
10847253946,"Mobile app or website"
10847038072,"Mobile app or website"
10847006667,"Mobile app or website"
10844664050,"Mobile app or website"
10844360022,"Mobile app or website"
10843815732,"Mobile app or website"
10843259075,"Mobile app or website"
10843006971,"Mobile app or website"
10841078256,"Mobile app or website"
10837914247,"Mobile app or website"
10837056649,"Mobile app or website"
10836154511,"Mobile app or website"
10833972658,"Mobile app or website"
10833790283,"Mobile app or website"
10833785776,"Mobile app or website"
10832963325,"Mobile app or website"
10832224616,"Mobile app or website"
10832173617,"Mobile app or website"
10832167633,"Mobile app or website"
10832123166,"Mobile app or website"
10832012122,"Mobile app or website"
10831948698,"Mobile app or website"
10831865696,"Mobile app or website"
10830145897,"Mobile app or website"
10822727213,"Mobile app or website"
10813811475,"Mobile app or website"
10762649964,"Mobile app or website"
10758753382,"Mobile app or website"
10749570344,"Mobile app or website"
10706606981,"Mobile app or website"
10682649508,"Mobile app or website"
10667369837,"Mobile app or website"
10662496256,"Mobile app or website"
10660833205,"Mobile app or website"
10660294275,"Mobile app or website"
10658936778,"Mobile app or website"
10658741910,"Mobile app or website"
10658649988,"Mobile app or website"
10602936383,"Mobile app or website"
10598122285,"Mobile app or website"
10580913646,"Mobile app or website"
10579835521,"Mobile app or website"
10578271769,"Mobile app or website"
10575471607,"Mobile app or website"
10575226552,"Mobile app or website"
10575091533,"Mobile app or website"
10572546454,"Mobile app or website"
10569280747,"Mobile app or website"
11170278059,"Mobile app or website"
11151215837,"Mobile app or website"
11042816472,"Mobile app or website"
11037955315,"Mobile app or website"
11009295893,"Mobile app or website"
10977935510,"Mobile app or website"
10974437681,"Mobile app or website"
10580166038,"Mobile app or website"
10579551441,"Mobile app or website"
10760373939,"Mobile app or website"
10719755952,"Mobile app or website"
10581017097,"Mobile app or website"
10569513731,"Mobile app or website"
10684698263,"Mobile app or website"
11249911719,"Clinician/healthcare provider"
11249860217,"Clinician/healthcare provider"
11245529294,"Clinician/healthcare provider"
11239077222,"Clinician/healthcare provider"
11238685800,"Clinician/healthcare provider"
11238671751,"Clinician/healthcare provider"
11215609540,"Clinician/healthcare provider"
11166384877,"Clinician/healthcare provider"
11156698544,"Clinician/healthcare provider"
11150766346,"Clinician/healthcare provider"
11138400653,"Clinician/healthcare provider"
11136795358,"Clinician/healthcare provider"
11135151906,"Clinician/healthcare provider"
11134932854,"Clinician/healthcare provider"
11134708109,"Clinician/healthcare provider"
11134531419,"Clinician/healthcare provider"
11134443636,"Clinician/healthcare provider"
11062688483,"Clinician/healthcare provider"
11045739846,"Clinician/healthcare provider"
11044478649,"Clinician/healthcare provider"
11034650778,"Clinician/healthcare provider"
10975405385,"Clinician/healthcare provider"
10893671348,"Clinician/healthcare provider"
10893153651,"Clinician/healthcare provider"
10887410730,"Clinician/healthcare provider"
10885623844,"Clinician/healthcare provider"
10879268147,"Clinician/healthcare provider"
10876510380,"Clinician/healthcare provider"
10875700450,"Clinician/healthcare provider"
10872986638,"Clinician/healthcare provider"
10864981709,"Clinician/healthcare provider"
10864851918,"Clinician/healthcare provider"
10860154215,"Clinician/healthcare provider"
10856437127,"Clinician/healthcare provider"
10843810346,"Clinician/healthcare provider"
10835639035,"Clinician/healthcare provider"
10832173617,"Clinician/healthcare provider"
10832123166,"Clinician/healthcare provider"
10831929904,"Clinician/healthcare provider"
10822727213,"Clinician/healthcare provider"
10813811475,"Clinician/healthcare provider"
10706606981,"Clinician/healthcare provider"
10676786628,"Clinician/healthcare provider"
10667369837,"Clinician/healthcare provider"
10662496256,"Clinician/healthcare provider"
10658741910,"Clinician/healthcare provider"
10658649988,"Clinician/healthcare provider"
10614375447,"Clinician/healthcare provider"
10591451425,"Clinician/healthcare provider"
10579835521,"Clinician/healthcare provider"
10578271769,"Clinician/healthcare provider"
10576876213,"Clinician/healthcare provider"
10575226552,"Clinician/healthcare provider"
10575091533,"Clinician/healthcare provider"
11037955315,"Clinician/healthcare provider"
10593527279,"Clinician/healthcare provider"
10758288741,"Clinician/healthcare provider"
11250528880,"Friend"
11250357688,"Friend"
11250243595,"Friend"
11249911719,"Friend"
11249860217,"Friend"
11248704898,"Friend"
11245529294,"Friend"
11239077222,"Friend"
11232533197,"Friend"
11215609540,"Friend"
11212784708,"Friend"
11188216657,"Friend"
11166535497,"Friend"
11166384877,"Friend"
11156698544,"Friend"
11141027225,"Friend"
11140621270,"Friend"
11138400653,"Friend"
11137541759,"Friend"
11135054998,"Friend"
11134708109,"Friend"
11057923056,"Friend"
11045739846,"Friend"
11044478649,"Friend"
11036310394,"Friend"
10978063065,"Friend"
10975405385,"Friend"
10893828061,"Friend"
10893153651,"Friend"
10892827041,"Friend"
10889700541,"Friend"
10887363314,"Friend"
10885623844,"Friend"
10876510380,"Friend"
10875526461,"Friend"
10875473988,"Friend"
10865633390,"Friend"
10864981709,"Friend"
10864851918,"Friend"
10858082192,"Friend"
10857243738,"Friend"
10851677235,"Friend"
10849691686,"Friend"
10847038072,"Friend"
10844664050,"Friend"
10843797483,"Friend"
10843259075,"Friend"
10843006971,"Friend"
10839396047,"Friend"
10837914247,"Friend"
10836330737,"Friend"
10835639035,"Friend"
