"id","response"
12136381503,"44"
12135463774,"38"
12133101909,"48"
12132927205,"21"
12132233718,"20"
12132214448,"23"
12132163758,"20"
12132104252,"20"
12132078521,"20"
12131998789,"51"
12131964620,"46"
12131851534,"44"
12131721639,"54"
12131715735,"63"
12131428048,"40"
12131422655,"46"
12131209039,"67"
12131200523,"40"
12131109092,"35"
12130942403,"46"
12130908188,"37"
12125246334,"19"
12117532265,"49"
12115508840,"21"
12115401787,"20"
12115038331,"22"
12111776441,"20"
12111773131,"20"
12111650153,"20"
12111618417,"23"
12111307653,"22"
12111303272,"18"
12111230500,"20"
12111194251,"20"
12111144931,"21"
12111139629,"20"
12111124255,"20"
12110942591,"36"
12110760138,"19"
12109743230,"53"
12109345630,"26"
12109344772,"61"
12098593698,"18"
12090854879,"20"
12090411737,"19"
12088481530,"63"
12087574721,"20"
12087159123,"22"
12087158527,"18"
12086908709,"20"
12086077854,"27"
12083827046,"42"
12082520980,"22"
12082170397,"60"
12081283749,"39"
12080580305,"40"
12077252415,"30"
12077235794,"20"
12076400248,"53"
12075954823,"46"
12074381494,"21"
12074019285,"22"
12073875318,"63"
12073793587,"36"
12073776955,"64"
12073722617,"21"
12073646656,"55"
12073584562,"43"
12073507410,"22"
12073502714,"63"
12073401348,"50"
12073388152,"26"
12073350420,"21"
12073328860,"22"
12073293894,"31"
12073285229,"60"
12072986634,"20"
12071331363,"25"
12069837517,"50"
12069359055,"21"
12065184453,"23"
12058718694,"22"
12057537018,"25"
12057218830,"49"
12056368456,"22"
12055337872,"55"
12044058829,"39"
12042948914,"47"
12039733597,"35"
12038576076,"51"
12038425844,"47"
12038386404,"46"
12038376334,"44"
12038239136,"69"
12038146033,"77"
12038026208,"54"
12037937592,"63"
12135339661,"45"
12132902987,"44"
12132479226,"46"
12131792773,"34"
12131550495,"72"
12131537581,"50"
12131072542,"67"
12118395465,"22"
12114191726,"21"
12111411393,"29"
12110135297,"49"
12101641171,"21"
12076481606,"20"
12075544061,"62"
12070541849,"20"
12057032505,"20"
12136363069,"38"
12134111903,"48"
12133799500,"52"
12132928355,"56"
12132876012,"50"
12132860098,"57"
12132859490,"44"
12132854685,"65"
12132697969,"46"
12132665530,"66"
12132579232,"55"
12132461614,"49"
12132435052,"23"
12132327779,"26"
12132310291,"39"
12132230475,"60"
12132200337,"49"
12132191256,"59"
12132183929,"68"
12131979940,"43"
12131942231,"49"
12131897421,"36"
12131875665,"49"
12131865039,"67"
12131803086,"69"
12131739443,"45"
12131653387,"52"
12131589767,"55"
12131547409,"42"
12131524825,"20"
12131447273,"64"
12131301473,"51"
12131259708,"35"
12131174499,"53"
12131154684,"52"
12131139384,"40"
12131109798,"36"
12131066195,"42"
12131024959,"68"
12131003211,"66"
12130966290,"35"
12130955258,"50"
12130950657,"49"
12130882912,"67"
12130879042,"49"
12129004610,"25"
12126408416,"20"
12126129156,"46"
12118222686,"27"
12116932026,"73"
12116880666,"71"
12115668074,"29"
12115565340,"52"
12114912717,"47"
12114284376,"20"
12111935327,"31"
12111926329,"19"
12111564390,"20"
12111187970,"50"
12111144571,"21"
12111139286,"21"
12111095224,"20"
12110723689,"69"
12110121018,"52"
12109707101,"35"
12109428955,"56"
12107922294,"31"
12107921078,"27"
12107382604,"47"
12106161651,"65"
12106006558,"20"
12105173288,"38"
12105104153,"40"
12103868071,"71"
12103664253,"71"
12103103714,"20"
12097906727,"72"
12085072956,"52"
12084155789,"66"
12083514866,"53"
12083243278,"32"
12080957003,"21"
12079051109,"63"
12078052441,"52"
12076591775,"34"
12075193113,"31"
12074162134,"36"
12074142917,"54"
12074080693,"20"
12073724395,"61"
12073701861,"55"
12073692172,"61"
12073595801,"47"
12073539869,"23"
12073527083,"41"
12073525501,"54"
12073395753,"33"
12073380455,"44"
12073223269,"27"
12073216933,"62"
12073197216,"62"
12073196540,"21"
12073192499,"57"
12071579746,"40"
12070419919,"50"
12070130966,"55"
12070011225,"55"
12069936870,"69"
12069356953,"21"
12065504996,"19"
12065338534,"18"
12059840536,"39"
12059743055,"24"
12057459725,"54"
12057108953,"20"
12056555622,"50"
12047697347,"55"
12044224878,"19"
12041590763,"71"
12041250731,"59"
12039724394,"50"
12038540042,"37"
12038473607,"65"
12038237713,"24"
12038173853,"53"
12038112261,"62"
12037996286,"40"
