"id","response"
11250741921,"0"
11250528880,"40"
11250357688,"100"
11250243595,"20"
11249989922,"50"
11249911719,"50"
11249871277,"30"
11249860217,"55"
11249832802,"50"
11249491628,"200"
11249421052,"40"
11248704898,"100"
11248164514,"150"
11246906361,"50"
11245529294,"50"
11241395977,"150"
11241251752,"60"
11239200945,"50"
11239077222,"125"
11239041530,"300"
11238774708,"50"
11238685800,"100"
11238671751,"120"
11238558967,"700"
11238077963,"30"
11236750096,"60"
11232533197,"30"
11231679765,"100"
11226611149,"200"
11222559871,"10"
11221636373,"25"
11220644956,"0"
11215609540,"75"
11215559561,"50"
11214928564,"10"
11212784708,"150"
11212618775,"25"
11211717848,"100"
11208627585,"500"
11188216657,"75"
11183903124,"50"
11181279818,"250"
11179999382,"50"
11170108737,"300"
11166997346,"50"
11166893092,"425"
11166535497,"150"
11166474867,"10"
11166390085,"100"
11166384877,"25"
11164232720,"150"
11161813510,"50"
11156698544,"100"
11156548224,"100"
11150766346,"360"
11149744263,"30"
11148900374,"0"
11148362084,"16"
11142252658,"0"
11141987359,"50"
11141027225,"100"
11140621270,"25"
11140569970,"10"
11138930846,"0"
11138400653,"150"
11138361963,"100"
11137973158,"40"
11137664485,"20"
11137652132,"50"
11137625236,"40"
11137570486,"30"
11137541759,"50"
11136861481,"50"
11136832253,"50"
11136798812,"0"
11136795358,"150"
11135990132,"65"
11135916791,"20"
11135889511,"30"
11135849827,"25"
11135778856,"20"
11135727852,"50"
11135570279,"350"
11135531344,"35"
11135476295,"800"
11135466512,"75"
11135411524,"50"
11135389919,"700"
11135380294,"50"
11135317065,"24"
11135238481,"60"
11135212674,"8"
11135151906,"200"
11135136344,"65"
11135122023,"15"
11135087208,"75"
11135054998,"40"
11135054557,"15"
11135022253,"200"
11135019994,"40"
11134932854,"10"
11134926998,"100"
11134799419,"25"
11134769709,"50"
11134708109,"10"
11134698105,"40"
11134691787,"60"
11134647286,"50"
11134572563,"200"
11134549629,"100"
11134536706,"10"
11134531419,"60"
11134530007,"75"
11134526749,"25"
11134508380,"50"
11134504342,"80"
11134478610,"100"
11134452367,"55"
11134451924,"25"
11134445906,"100"
11134443636,"50"
11132638848,"60"
11131514317,"200"
11129003813,"100"
11111974827,"5"
11105188699,"100"
11102541656,"100"
11100035804,"90"
11091792560,"50"
11076823569,"250"
11065588769,"50"
11065479544,"250"
11064470565,"20"
11064360862,"12"
11064342543,"30"
11062688483,"10"
11062634752,"75"
11061878386,"20"
11061509902,"150"
11057923056,"42"
11054943670,"0"
11054783496,"60"
11050438627,"5"
11045739846,"100"
11044478649,"100"
11036310394,"100"
11034650778,"25"
11033502369,"20"
11030978965,"125"
11027692007,"25"
11023090140,"35"
11014798443,"100"
11006369538,"250"
11003496788,"200"
10994464098,"80"
10985275093,"100"
10978063065,"100"
10975405385,"225"
10972364151,"150"
10952093942,"60"
10932820377,"10"
10923325388,"50"
10922773382,"20"
10908463163,"0"
10902224469,"30"
10900800324,"20"
10894995749,"150"
10893948558,"10"
10893828061,"50"
10893671348,"800"
10893268968,"60"
10893153651,"300"
10892827041,"125"
10892190679,"50"
10890414342,"20"
10889700541,"50"
10888170961,"25"
10887410730,"160"
10887363314,"100"
10886504576,"120"
10886185272,"5"
10886020524,"60"
10885759801,"60"
10885623844,"100"
10884768912,"15"
10883497633,"25"
