"id","response"
10923325388,"War in Iraq: Operation Iraqi Freedom"
10893948558,"War in Iraq: Operation Iraqi Freedom"
10878751296,"War in Iraq: Operation Iraqi Freedom"
10878422887,"War in Iraq: Operation Iraqi Freedom"
10876876072,"War in Iraq: Operation Iraqi Freedom"
10875700450,"War in Iraq: Operation Iraqi Freedom"
10875562577,"War in Iraq: Operation Iraqi Freedom"
10875473988,"War in Iraq: Operation Iraqi Freedom"
10875462742,"War in Iraq: Operation Iraqi Freedom"
10875458883,"War in Iraq: Operation Iraqi Freedom"
10874749577,"War in Iraq: Operation Iraqi Freedom"
10923325388,"War in Iraq: Operation New Dawn"
10893948558,"War in Iraq: Operation New Dawn"
10876876072,"War in Iraq: Operation New Dawn"
10875700450,"War in Iraq: Operation New Dawn"
10884768912,"War in Afghanistan: Operation New Dawn"
10876876072,"War in Afghanistan: Operation New Dawn"
10875700450,"War in Afghanistan: Operation New Dawn"
10875473988,"War in Afghanistan: Operation New Dawn"
11062634752,"Persian Gulf War"
11027692007,"Persian Gulf War"
10923325388,"Persian Gulf War"
10884768912,"Persian Gulf War"
10882385979,"Persian Gulf War"
10878422887,"Persian Gulf War"
10878214093,"Persian Gulf War"
10876876072,"Persian Gulf War"
10876001530,"Persian Gulf War"
10875993925,"Persian Gulf War"
10875562577,"Persian Gulf War"
10875460020,"Persian Gulf War"
10867810520,"Persian Gulf War"
10888170961,"Vietnam War"
10885759801,"Vietnam War"
10883497633,"Vietnam War"
10878422887,"Vietnam War"
10877788133,"Vietnam War"
10877606410,"Vietnam War"
10877565497,"Vietnam War"
10877375002,"Vietnam War"
10877194985,"Vietnam War"
10876485783,"Vietnam War"
10876392009,"Vietnam War"
10876336346,"Vietnam War"
10876100377,"Vietnam War"
10875944995,"Vietnam War"
10875696093,"Vietnam War"
10875617011,"Vietnam War"
10875526461,"Vietnam War"
10875511603,"Vietnam War"
10875507777,"Vietnam War"
10875479466,"Vietnam War"
10875467061,"Vietnam War"
10867812743,"Vietnam War"
10858082192,"Vietnam War"
10856437127,"Vietnam War"
10855896441,"Vietnam War"
10889700541,"None"
10880715177,"None"
10879062209,"None"
10876604101,"None"
10875530570,"None"
10875529110,"None"
10875503972,"None"
10867615622,"None"
10860535252,"None"
10884768912,"Other (please specify)"
10882385979,"Other (please specify)"
10878751296,"Other (please specify)"
10877416704,"Other (please specify)"
10876510380,"Other (please specify)"
10875700450,"Other (please specify)"
10867810520,"Other (please specify)"
10859949104,"Other (please specify)"
10858082192,"Other (please specify)"
