"id","response"
11249911719,"Disabled American Veterans (DAV)"
11208627585,"Disabled American Veterans (DAV)"
11181279818,"Disabled American Veterans (DAV)"
11166535497,"Disabled American Veterans (DAV)"
11135411524,"Disabled American Veterans (DAV)"
11135238481,"Disabled American Veterans (DAV)"
11135136344,"Disabled American Veterans (DAV)"
11134932854,"Disabled American Veterans (DAV)"
11134452367,"Disabled American Veterans (DAV)"
11134443636,"Disabled American Veterans (DAV)"
11062634752,"Disabled American Veterans (DAV)"
11036310394,"Disabled American Veterans (DAV)"
11027692007,"Disabled American Veterans (DAV)"
10975405385,"Disabled American Veterans (DAV)"
10923325388,"Disabled American Veterans (DAV)"
10889700541,"Disabled American Veterans (DAV)"
10880715177,"Disabled American Veterans (DAV)"
10879062209,"Disabled American Veterans (DAV)"
10877375002,"Disabled American Veterans (DAV)"
10877194985,"Disabled American Veterans (DAV)"
10876604101,"Disabled American Veterans (DAV)"
10876510380,"Disabled American Veterans (DAV)"
10875530570,"Disabled American Veterans (DAV)"
10875529110,"Disabled American Veterans (DAV)"
10875526461,"Disabled American Veterans (DAV)"
10875467061,"Disabled American Veterans (DAV)"
10875460020,"Disabled American Veterans (DAV)"
10872582813,"Disabled American Veterans (DAV)"
10865633390,"Disabled American Veterans (DAV)"
10861388917,"Disabled American Veterans (DAV)"
10856302482,"Disabled American Veterans (DAV)"
10851333216,"Disabled American Veterans (DAV)"
10848597634,"Disabled American Veterans (DAV)"
10848029491,"Disabled American Veterans (DAV)"
10847826329,"Disabled American Veterans (DAV)"
10847199598,"Disabled American Veterans (DAV)"
10847177434,"Disabled American Veterans (DAV)"
10847010995,"Disabled American Veterans (DAV)"
10846997868,"Disabled American Veterans (DAV)"
10845744369,"Disabled American Veterans (DAV)"
10844291789,"Disabled American Veterans (DAV)"
10843875549,"Disabled American Veterans (DAV)"
10833532176,"Disabled American Veterans (DAV)"
10832451640,"Disabled American Veterans (DAV)"
10832168862,"Disabled American Veterans (DAV)"
10832128566,"Disabled American Veterans (DAV)"
10758753382,"Disabled American Veterans (DAV)"
10749570344,"Disabled American Veterans (DAV)"
10682649508,"Disabled American Veterans (DAV)"
10669140575,"Disabled American Veterans (DAV)"
10668597062,"Disabled American Veterans (DAV)"
10660294275,"Disabled American Veterans (DAV)"
10624147163,"Disabled American Veterans (DAV)"
10618149896,"Disabled American Veterans (DAV)"
10585520406,"Disabled American Veterans (DAV)"
10580341387,"Disabled American Veterans (DAV)"
10579646891,"Disabled American Veterans (DAV)"
11213907729,"Disabled American Veterans (DAV)"
11186271761,"Disabled American Veterans (DAV)"
11044680699,"Disabled American Veterans (DAV)"
10977935510,"Disabled American Veterans (DAV)"
10607782752,"Disabled American Veterans (DAV)"
11211717848,"Iraq and Afghanistan Veterans of America (IAVA)"
11208627585,"Iraq and Afghanistan Veterans of America (IAVA)"
11179999382,"Iraq and Afghanistan Veterans of America (IAVA)"
11134932854,"Iraq and Afghanistan Veterans of America (IAVA)"
11064360862,"Iraq and Afghanistan Veterans of America (IAVA)"
10985275093,"Iraq and Afghanistan Veterans of America (IAVA)"
10847199598,"Iraq and Afghanistan Veterans of America (IAVA)"
10846997868,"Iraq and Afghanistan Veterans of America (IAVA)"
10843875549,"Iraq and Afghanistan Veterans of America (IAVA)"
10840178037,"Iraq and Afghanistan Veterans of America (IAVA)"
10832128566,"Iraq and Afghanistan Veterans of America (IAVA)"
10822875373,"Iraq and Afghanistan Veterans of America (IAVA)"
10802360410,"Iraq and Afghanistan Veterans of America (IAVA)"
10569704133,"Iraq and Afghanistan Veterans of America (IAVA)"
11211717848,"VFW"
11208627585,"VFW"
11179999382,"VFW"
11138400653,"VFW"
11134932854,"VFW"
11134769709,"VFW"
11027692007,"VFW"
10975405385,"VFW"
10894995749,"VFW"
10877375002,"VFW"
10876604101,"VFW"
10875530570,"VFW"
10875467061,"VFW"
10863841131,"VFW"
10850929741,"VFW"
10848597634,"VFW"
10846997868,"VFW"
10845744369,"VFW"
10844291789,"VFW"
10843875549,"VFW"
10831948842,"VFW"
10822875373,"VFW"
10749570344,"VFW"
10662496256,"VFW"
10658577550,"VFW"
10585520406,"VFW"
10580341387,"VFW"
10579646891,"VFW"
10569704133,"VFW"
11044680699,"VFW"
11211717848,"American Legion"
11208627585,"American Legion"
11181279818,"American Legion"
11179999382,"American Legion"
11138400653,"American Legion"
