"id","response"
10889700541,"Mobile app or website"
10888170961,"Mobile app or website"
10882385979,"Mobile app or website"
10880715177,"Mobile app or website"
10877565497,"Mobile app or website"
10876604101,"Mobile app or website"
10876510380,"Mobile app or website"
10876485783,"Mobile app or website"
10876392009,"Mobile app or website"
10876336346,"Mobile app or website"
10876100377,"Mobile app or website"
10876001530,"Mobile app or website"
10875944995,"Mobile app or website"
10875530570,"Mobile app or website"
10875529110,"Mobile app or website"
10875526461,"Mobile app or website"
10875507777,"Mobile app or website"
10875467061,"Mobile app or website"
10875462742,"Mobile app or website"
10874749577,"Mobile app or website"
10867812743,"Mobile app or website"
10860535252,"Mobile app or website"
10859949104,"Mobile app or website"
10855896441,"Mobile app or website"
10923325388,"Clinician/healthcare provider"
10885759801,"Clinician/healthcare provider"
10878422887,"Clinician/healthcare provider"
10877194985,"Clinician/healthcare provider"
10876604101,"Clinician/healthcare provider"
10876510380,"Clinician/healthcare provider"
10876336346,"Clinician/healthcare provider"
10875993925,"Clinician/healthcare provider"
10875700450,"Clinician/healthcare provider"
10875562577,"Clinician/healthcare provider"
10875530570,"Clinician/healthcare provider"
10875460020,"Clinician/healthcare provider"
10875458883,"Clinician/healthcare provider"
10859949104,"Clinician/healthcare provider"
10856437127,"Clinician/healthcare provider"
11062634752,"Friend"
10893948558,"Friend"
10889700541,"Friend"
10880715177,"Friend"
10876510380,"Friend"
10876392009,"Friend"
10876100377,"Friend"
10875617011,"Friend"
10875530570,"Friend"
10875529110,"Friend"
10875526461,"Friend"
10875479466,"Friend"
10875473988,"Friend"
10875458883,"Friend"
10867812743,"Friend"
10858082192,"Friend"
10893948558,"Cultivator"
10876510380,"Cultivator"
10876485783,"Cultivator"
10875530570,"Cultivator"
10875460020,"Cultivator"
10923325388,"Dispensary agent"
10889700541,"Dispensary agent"
10882385979,"Dispensary agent"
10879062209,"Dispensary agent"
10878751296,"Dispensary agent"
10878422887,"Dispensary agent"
10877788133,"Dispensary agent"
10877375002,"Dispensary agent"
10877194985,"Dispensary agent"
10876510380,"Dispensary agent"
10876485783,"Dispensary agent"
10876336346,"Dispensary agent"
10875993925,"Dispensary agent"
10875944995,"Dispensary agent"
10875700450,"Dispensary agent"
10875562577,"Dispensary agent"
10875530570,"Dispensary agent"
10875526461,"Dispensary agent"
10875503972,"Dispensary agent"
10874749577,"Dispensary agent"
10855896441,"Dispensary agent"
10893948558,"Google search"
10883497633,"Google search"
10882385979,"Google search"
10880715177,"Google search"
10878751296,"Google search"
10877788133,"Google search"
10876510380,"Google search"
10876485783,"Google search"
10876100377,"Google search"
10875944995,"Google search"
10875696093,"Google search"
10875617011,"Google search"
10875530570,"Google search"
10875529110,"Google search"
10875526461,"Google search"
10875507777,"Google search"
10874749577,"Google search"
10867812743,"Google search"
10860535252,"Google search"
11027692007,"Scientific literature"
10884768912,"Scientific literature"
10880715177,"Scientific literature"
10878422887,"Scientific literature"
10876604101,"Scientific literature"
10876510380,"Scientific literature"
10876485783,"Scientific literature"
10876392009,"Scientific literature"
10876336346,"Scientific literature"
10875944995,"Scientific literature"
10875700450,"Scientific literature"
10875617011,"Scientific literature"
10875562577,"Scientific literature"
10875530570,"Scientific literature"
10875507777,"Scientific literature"
10875462742,"Scientific literature"
10875460020,"Scientific literature"
10875458883,"Scientific literature"
10874749577,"Scientific literature"
10859949104,"Scientific literature"
10858082192,"Scientific literature"
10855896441,"Scientific literature"
10883497633,"Other (please specify)"
10876604101,"Other (please specify)"
10874749577,"Other (please specify)"
