"id","response"
10767176517,"Mobile app or website"
10760373939,"Mobile app or website"
10719755952,"Mobile app or website"
10659241585,"Mobile app or website"
10598306507,"Mobile app or website"
10581017097,"Mobile app or website"
10575479401,"Mobile app or website"
10569513731,"Mobile app or website"
10758288741,"Clinician/healthcare provider"
10647255505,"Clinician/healthcare provider"
10760373939,"Friend"
10598306507,"Friend"
10581017097,"Friend"
10574111964,"Cultivator"
10760373939,"Dispensary agent"
10719755952,"Dispensary agent"
10671009796,"Dispensary agent"
10659241585,"Dispensary agent"
10647255505,"Dispensary agent"
10569513731,"Dispensary agent"
10767176517,"Google search"
10719755952,"Google search"
10699810522,"Google search"
10574111964,"Google search"
10868495105,"Scientific literature"
10767176517,"Scientific literature"
10719755952,"Scientific literature"
10659241585,"Scientific literature"
10574111964,"Scientific literature"
10868495105,"Other (please specify)"
10760373939,"Other (please specify)"
